type,group,decell_wet,decell_dry_est,cp_wet,cp_dry_used,dry_change,dry_change_pct,wet_change,wet_change_pct
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0458,0.0053695824210137025,0.0256,0.0074,0.0020304175789862978,37.81332364022048,-0.0202,-44.10480349344978
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0412,0.00497934064724679,0.0251,0.007411575592194274,0.002432234944947484,48.846526422977945,-0.0161,-39.07766990291262
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0344,0.0044024615034174396,0.0246,0.007260987410855559,0.0028585259074381192,64.93017384068366,-0.0098,-28.488372093023255
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0523,0.005921011014379992,0.0277,0.0085,0.0025789889856200083,43.556564569067305,-0.0246,-47.03632887189293
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0315,0.004156439515607864,0.0199,0.005845458506271642,0.001689018990663778,40.636197984388694,-0.0116,-36.82539682539682
AGAINST THE GRAIN (1000um),AGAINST THE GRAIN (1000um),0.0481,0.005564703307897158,0.0269,0.007953693045013645,0.002388989737116487,42.93112507411039,-0.021199999999999997,-44.07484407484407
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0293,0.003969802145545428,0.0156,0.004550400146758697,0.000580598001213269,14.625363681279842,-0.0137,-46.75767918088738
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0355,0.004495780188448657,0.0181,0.00530334105345227,0.0008075608650036127,17.962641213610464,-0.017399999999999995,-49.01408450704225
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0143,0.0026972746223924505,0.0065,0.002,-0.0006972746223924504,-25.851080071853275,-0.0078000000000000005,-54.54545454545455
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0285,0.0039019340109772687,0.0148,0.004309459056616754,0.000407525045639485,10.44418087269029,-0.0137,-48.07017543859649
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0327,0.004258241717460102,0.0183,0.005363576325987755,0.001105334608527653,25.957535571441163,-0.0144,-44.03669724770642
PERPINDICULAR TO GRAIN (500um),500um (along + perp),0.0392,0.004809670310826392,0.0215,0.006327340686555528,0.0015176703757291358,31.554561490689192,-0.0177,-45.1530612244898
ALONG THE GRAIN (500um),500um (along + perp),0.0418,0.005030241748172908,0.0189,0.005544282143594213,0.0005140403954213054,10.218999824571373,-0.022899999999999997,-54.784688995215305
ALONG THE GRAIN (500um),500um (along + perp),0.0573,0.006345186855430984,0.0287,0.008495810497833017,0.0021506236424020334,33.89377951196611,-0.028599999999999997,-49.91273996509599
ALONG THE GRAIN (500um),500um (along + perp),0.0676,0.0072189890879960274,0.0357,0.010604045036575022,0.0033850559485789945,46.890996887746745,-0.03189999999999999,-47.18934911242603
ALONG THE GRAIN (500um),500um (along + perp),0.0296,0.0039952526960084864,0.0137,0.003978165057671582,-1.7087638336904867e-05,-0.4276985621954905,-0.0159,-53.71621621621622
ALONG THE GRAIN (500um),500um (along + perp),0.0216,0.0033165713503268994,0.0103,0.0031,-0.00021657135032689947,-6.529977119459621,-0.011300000000000001,-52.31481481481482
ALONG THE GRAIN (500um),500um (along + perp),0.0202,0.0031978021148326213,0.0111,0.0031951065147102662,-2.695600122355063e-06,-0.08429540120233973,-0.009099999999999999,-45.04950495049505
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.0623,0.006769362696481977,0.0326,0.00967039831227499,0.0029010356157930135,42.85537274137601,-0.029700000000000004,-47.672552166934196
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.0497,0.005700439577033476,0.0326,0.00967039831227499,0.003969958735241514,69.6430280786783,-0.017100000000000004,-34.40643863179075
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.03,0.004029186763292566,0.0156,0.004550400146758697,0.0005212133834661308,12.935944995515825,-0.0144,-48.0
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.0552,0.006167033002189567,0.0294,0.008706633951707218,0.0025396009495176515,41.18027175492627,-0.0258,-46.73913043478261
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.0323,0.0042243076501760225,0.0147,0.0038,-0.00042430765017602247,-10.044430598191447,-0.017600000000000005,-54.48916408668732
ALONG THE GRAIN (1000um),ALONG THE GRAIN (1000um),0.0353,0.004478813154806618,0.0167,0.004881694145703869,0.00040288099089725096,8.995262293201115,-0.0186,-52.69121813031161
