time_s,current_uA,applied_V,force_V,force_mN
13.1,6250.0,0.8,7.642,427.952
13.2,6250.0,0.8,7.642,427.952
13.3,6250.0,0.8,7.642,427.952
13.4,6250.0,0.8,7.642,427.952
13.5,6250.0,0.8,7.642,427.952
13.6,6250.0,0.8,7.642,427.952
13.7,6250.0,0.8,7.642,427.952
13.8,6250.0,0.8,7.643,428.008
13.9,6250.0,0.8,7.643,428.008
14.0,6250.0,0.8,7.643,428.008
14.1,6250.0,0.8,7.643,428.008
14.2,6250.0,0.8,7.643,428.008
14.3,6250.0,0.8,7.644,428.064
14.4,6250.0,0.8,7.644,428.064
14.5,6250.0,0.8,7.644,428.064
14.6,6250.0,0.8,7.644,428.064
14.7,6250.0,0.8,7.644,428.064
14.8,6250.0,0.8,7.643,428.008
14.9,6250.0,0.8,7.643,428.008
15.0,6250.0,0.8,7.643,428.008
15.1,6250.0,0.8,7.643,428.008
15.2,6250.0,0.8,7.643,428.008
15.3,6250.0,0.8,7.643,428.008
15.4,6250.0,0.8,7.643,428.008
15.5,6250.0,0.8,7.643,428.008
15.6,6250.0,0.8,7.643,428.008
15.7,6250.0,0.8,7.643,428.008
15.8,6250.0,0.8,7.645,428.12
15.9,6250.0,0.8,7.645,428.12
16.0,6250.0,0.8,7.645,428.12
16.1,6250.0,0.8,7.645,428.12
16.2,6250.0,0.8,7.645,428.12
16.3,6250.0,0.8,7.645,428.12
16.4,6250.0,0.8,7.645,428.12
16.5,6250.0,0.8,7.645,428.12
16.6,6250.0,0.8,7.645,428.12
16.7,6250.0,0.8,7.645,428.12
16.8,6250.0,0.8,7.643,428.008
16.9,6250.0,0.8,7.643,428.008
17.0,6250.0,0.8,7.643,428.008
17.1,6250.0,0.8,7.643,428.008
17.2,6250.0,0.8,7.643,428.008
17.3,6250.0,0.8,7.647,428.232
17.4,6250.0,0.8,7.647,428.232
17.5,6250.0,0.8,7.647,428.232
17.6,6250.0,0.8,7.647,428.232
17.7,6250.0,0.8,7.647,428.232
17.8,6250.0,0.8,7.644,428.064
17.9,6250.0,0.8,7.644,428.064
18.0,6250.0,0.8,7.644,428.064
18.1,6250.0,0.8,7.644,428.064
18.2,6250.0,0.8,7.644,428.064
18.3,6250.0,0.8,7.645,428.12
18.4,6250.0,0.8,7.645,428.12
18.5,6250.0,0.8,7.645,428.12
18.6,6250.0,0.8,7.645,428.12
18.7,6250.0,0.8,7.645,428.12
18.8,6250.0,0.8,7.645,428.12
18.9,6250.0,0.8,7.645,428.12
19.0,6250.0,0.8,7.645,428.12
19.1,6250.0,0.8,7.645,428.12
19.2,6250.0,0.8,7.645,428.12
19.3,6250.0,0.8,7.644,428.064
19.4,6250.0,0.8,7.644,428.064
19.5,6250.0,0.8,7.644,428.064
19.6,6250.0,0.8,7.644,428.064
19.7,6250.0,0.8,7.644,428.064
19.8,6250.0,0.8,7.646,428.176
19.9,6250.0,0.8,7.646,428.176
20.0,6250.0,0.8,7.646,428.176
20.1,6250.0,0.8,7.646,428.176
20.2,6250.0,0.8,7.646,428.176
20.3,6250.0,0.8,7.644,428.064
20.4,6250.0,0.8,7.644,428.064
20.5,6250.0,0.8,7.644,428.064
20.6,6250.0,0.8,7.644,428.064
20.7,6250.0,0.8,7.644,428.064
20.8,6250.0,0.8,7.647,428.232
20.9,6250.0,0.8,7.647,428.232
21.0,6250.0,0.8,7.647,428.232
21.1,6250.0,0.8,7.647,428.232
21.2,6250.0,0.8,7.647,428.232
21.3,6250.0,0.8,7.645,428.12
21.4,6250.0,0.8,7.645,428.12
21.5,6250.0,0.8,7.645,428.12
21.6,6250.0,0.8,7.645,428.12
21.7,6250.0,0.8,7.645,428.12
21.8,6250.0,0.8,7.644,428.064
21.9,6250.0,0.8,7.644,428.064
22.0,6250.0,0.8,7.644,428.064
22.1,6250.0,0.8,7.644,428.064
22.2,6250.0,0.8,7.644,428.064
22.3,6250.0,0.8,7.645,428.12
22.4,6250.0,0.8,7.645,428.12
22.5,6250.0,0.8,7.645,428.12
22.6,6250.0,0.8,7.645,428.12
22.7,6250.0,0.8,7.645,428.12
22.8,6250.0,0.8,7.645,428.12
22.9,6250.0,0.8,7.645,428.12
23.0,6250.0,0.8,7.645,428.12
23.1,6250.0,0.8,7.645,428.12
23.2,6250.0,0.8,7.645,428.12
23.3,6250.0,0.8,7.645,428.12
23.4,6250.0,0.8,7.645,428.12
23.5,6250.0,0.8,7.645,428.12
23.6,6250.0,0.8,7.645,428.12
23.7,6250.0,0.8,7.645,428.12
23.8,6250.0,0.8,7.645,428.12
23.9,6250.0,0.8,7.645,428.12
24.0,6250.0,0.8,7.645,428.12
24.1,6250.0,0.8,7.645,428.12
24.2,6250.0,0.8,7.645,428.12
24.3,6250.0,0.8,7.646,428.176
24.4,6250.0,0.8,7.646,428.176
24.5,6250.0,0.8,7.646,428.176
24.6,6250.0,0.8,7.646,428.176
24.7,6250.0,0.8,7.646,428.176
24.8,6250.0,0.8,7.645,428.12
24.9,6250.0,0.8,7.645,428.12
25.0,6250.0,0.8,7.645,428.12
25.1,6250.0,0.8,7.645,428.12
25.2,6250.0,0.8,7.645,428.12
25.3,6250.0,0.8,7.646,428.176
25.4,6250.0,0.8,7.646,428.176
25.5,6250.0,0.8,7.646,428.176
25.6,6250.0,0.8,7.646,428.176
25.7,6250.0,0.8,7.646,428.176
25.8,6250.0,0.8,7.645,428.12
25.9,6250.0,0.8,7.645,428.12
26.0,6250.0,0.8,7.645,428.12
26.1,6250.0,0.8,7.645,428.12
26.2,6250.0,0.8,7.645,428.12
26.3,6250.0,0.8,7.645,428.12
26.4,6250.0,0.8,7.645,428.12
26.5,6250.0,0.8,7.645,428.12
26.6,6250.0,0.8,7.645,428.12
26.7,6250.0,0.8,7.645,428.12
26.8,6250.0,0.8,7.644,428.064
26.9,6250.0,0.8,7.644,428.064
27.0,6250.0,0.8,7.644,428.064
27.1,6250.0,0.8,7.644,428.064
27.2,6250.0,0.8,7.644,428.064
27.3,6250.0,0.8,7.647,428.232
27.4,6250.0,0.8,7.647,428.232
27.5,6250.0,0.8,7.647,428.232
27.6,6250.0,0.8,7.647,428.232
27.7,6250.0,0.8,7.647,428.232
27.8,6250.0,0.8,7.644,428.064
27.9,6250.0,0.8,7.644,428.064
28.0,6250.0,0.8,7.644,428.064
28.1,6250.0,0.8,7.644,428.064
28.2,6250.0,0.8,7.644,428.064
28.3,6250.0,0.8,7.645,428.12
28.4,6250.0,0.8,7.645,428.12
28.5,6250.0,0.8,7.645,428.12
28.6,6250.0,0.8,7.645,428.12
28.7,6250.0,0.8,7.645,428.12
28.8,6250.0,0.8,7.646,428.176
28.9,6250.0,0.8,7.646,428.176
29.0,6250.0,0.8,7.646,428.176
29.1,6250.0,0.8,7.646,428.176
29.2,6250.0,0.8,7.646,428.176
29.3,6250.0,0.8,7.644,428.064
29.4,6250.0,0.8,7.644,428.064
29.5,6250.0,0.8,7.644,428.064
29.6,6250.0,0.8,7.644,428.064
29.7,6250.0,0.8,7.644,428.064
29.8,6250.0,0.8,7.644,428.064
29.9,6250.0,0.8,7.644,428.064
30.0,6250.0,0.8,7.644,428.064
30.1,6250.0,0.8,7.644,428.064
30.2,6250.0,0.8,7.644,428.064
30.3,6250.0,0.8,7.645,428.12
30.4,6250.0,0.8,7.645,428.12
30.5,6250.0,0.8,7.645,428.12
30.6,6250.0,0.8,7.645,428.12
30.7,6250.0,0.8,7.645,428.12
30.8,6250.0,0.8,7.644,428.064
30.9,6250.0,0.8,7.644,428.064
31.0,6250.0,0.8,7.644,428.064
31.1,6250.0,0.8,7.644,428.064
31.2,6250.0,0.8,7.644,428.064
31.3,6250.0,0.8,7.644,428.064
31.4,6250.0,0.8,7.644,428.064
31.5,6250.0,0.8,7.644,428.064
31.6,6250.0,0.8,7.644,428.064
31.7,6250.0,0.8,7.644,428.064
31.8,6250.0,0.8,7.646,428.176
31.9,6250.0,0.8,7.646,428.176
32.0,6250.0,0.8,7.646,428.176
32.1,6250.0,0.8,7.646,428.176
32.2,6250.0,0.8,7.646,428.176
32.3,6250.0,0.8,7.646,428.176
32.4,6250.0,0.8,7.646,428.176
32.5,6250.0,0.8,7.646,428.176
32.6,6250.0,0.8,7.646,428.176
