time_s,force_V_raw,force_V
0.0,3.513,3.511
0.5,3.511,3.511
1.0,3.512,3.511
1.5,3.512,3.511
2.0,3.511,3.511
2.5,3.511,3.511
3.0,3.511,3.511
3.5,3.512,3.511
4.0,3.511,3.511
4.5,3.511,3.511
5.0,3.511,3.511
5.5,3.511,3.511
6.0,3.511,3.511
6.5,3.511,3.511
7.0,3.511,3.511
7.5,3.511,3.511
8.0,3.51,3.511
8.5,3.511,3.511
9.0,3.511,3.511
9.5,3.511,3.511
10.0,3.511,3.511
10.5,3.511,3.51
11.0,3.51,3.51
11.5,3.51,3.51
12.0,3.51,3.51
12.5,3.51,3.51
13.0,3.509,3.51
13.5,3.509,3.509
14.0,3.508,3.509
14.5,3.508,3.508
15.0,3.507,3.508
15.5,3.507,3.507
16.0,3.507,3.507
16.5,3.566,3.507
17.0,3.506,3.506
17.5,3.506,3.506
18.0,3.506,3.506
18.5,3.505,3.505
19.0,3.505,3.505
19.5,3.504,3.505
20.0,3.505,3.505
20.5,3.504,3.505
21.0,3.505,3.504
21.5,3.505,3.504
22.0,3.504,3.504
22.5,3.504,3.504
23.0,3.504,3.504
23.5,3.504,3.504
24.0,3.504,3.504
24.5,3.504,3.504
25.0,3.504,3.504
25.5,3.503,3.504
26.0,3.503,3.503
26.5,3.503,3.503
27.0,3.502,3.503
27.5,3.502,3.502
28.0,3.502,3.502
28.5,3.502,3.502
29.0,3.502,3.502
29.5,3.502,3.502
30.0,3.501,3.502
30.5,3.562,3.501
31.0,3.501,3.501
31.5,3.501,3.501
32.0,3.5,3.5
32.5,3.5,3.5
33.0,3.5,3.5
33.5,3.5,3.5
34.0,3.5,3.5
34.5,3.5,3.5
35.0,3.499,3.499
35.5,3.499,3.499
36.0,3.499,3.499
36.5,3.499,3.499
37.0,3.499,3.499
37.5,3.499,3.499
38.0,3.499,3.499
38.5,3.499,3.499
39.0,3.499,3.499
39.5,3.499,3.499
40.0,3.498,3.498
40.5,3.498,3.498
41.0,3.498,3.498
41.5,3.497,3.497
42.0,3.497,3.497
42.5,3.497,3.497
43.0,3.496,3.496
43.5,3.495,3.495
44.0,3.495,3.495
44.5,3.495,3.495
45.0,3.495,3.495
45.5,3.495,3.495
46.0,3.494,3.494
46.5,3.494,3.494
47.0,3.493,3.493
47.5,3.493,3.493
48.0,3.493,3.493
48.5,3.492,3.492
49.0,3.492,3.492
49.5,3.492,3.492
50.0,3.491,3.491
50.5,3.491,3.491
51.0,3.491,3.491
51.5,3.49,3.49
52.0,3.49,3.49
52.5,3.489,3.489
53.0,3.489,3.489
53.5,3.489,3.489
54.0,3.488,3.488
54.5,3.487,3.487
55.0,3.487,3.487
55.5,3.487,3.487
56.0,3.487,3.487
56.5,3.486,3.486
57.0,3.486,3.486
57.5,3.486,3.486
58.0,3.486,3.486
58.5,3.486,3.486
59.0,3.486,3.486
59.5,3.485,3.486
60.0,3.486,3.485
60.5,3.485,3.485
61.0,3.485,3.485
61.5,3.484,3.484
62.0,3.484,3.484
62.5,3.484,3.484
63.0,3.484,3.484
63.5,3.484,3.484
64.0,3.483,3.483
64.5,3.483,3.483
65.0,3.483,3.483
65.5,3.482,3.482
66.0,3.481,3.481
66.5,3.481,3.481
67.0,3.481,3.481
67.5,3.481,3.481
68.0,3.481,3.481
68.5,3.48,3.48
69.0,3.48,3.48
69.5,3.479,3.479
70.0,3.479,3.479
70.5,3.479,3.479
71.0,3.478,3.478
71.5,3.478,3.478
72.0,3.477,3.477
72.5,3.477,3.477
73.0,3.477,3.477
73.5,3.477,3.477
74.0,3.476,3.477
74.5,3.476,3.477
75.0,3.477,3.476
75.5,3.477,3.476
76.0,3.476,3.476
76.5,3.476,3.476
77.0,3.475,3.476
77.5,3.476,3.476
78.0,3.476,3.476
78.5,3.475,3.475
79.0,3.475,3.475
79.5,3.474,3.475
80.0,3.474,3.474
80.5,3.479,3.474
81.0,3.473,3.473
81.5,3.473,3.473
82.0,3.473,3.473
82.5,3.472,3.472
83.0,3.472,3.472
83.5,3.472,3.472
84.0,3.472,3.472
84.5,3.471,3.471
85.0,3.471,3.471
85.5,3.471,3.471
86.0,3.471,3.471
86.5,3.47,3.47
87.0,3.469,3.469
87.5,3.469,3.469
88.0,3.468,3.468
88.5,3.468,3.468
89.0,3.467,3.467
89.5,3.467,3.467
90.0,3.467,3.467
90.5,3.467,3.467
91.0,3.466,3.467
91.5,3.466,3.467
92.0,3.467,3.467
92.5,3.466,3.467
93.0,3.467,3.466
93.5,3.467,3.466
94.0,3.467,3.466
94.5,3.466,3.466
95.0,3.466,3.466
95.5,3.465,3.465
96.0,3.465,3.465
96.5,3.465,3.465
97.0,3.464,3.465
97.5,3.465,3.465
98.0,3.465,3.464
98.5,3.463,3.464
99.0,3.464,3.463
99.5,3.463,3.463
100.0,3.463,3.463
100.5,3.462,3.462
101.0,3.462,3.462
101.5,3.462,3.462
102.0,3.462,3.462
102.5,3.461,3.461
103.0,3.461,3.461
103.5,3.461,3.461
104.0,3.46,3.46
104.5,3.46,3.46
105.0,3.46,3.46
105.5,3.459,3.459
106.0,3.458,3.459
106.5,3.458,3.459
107.0,3.459,3.458
107.5,3.458,3.458
108.0,3.458,3.458
108.5,3.458,3.458
109.0,3.459,3.458
109.5,3.458,3.458
110.0,3.458,3.458
110.5,3.458,3.458
111.0,3.457,3.458
111.5,3.458,3.458
112.0,3.457,3.457
112.5,3.457,3.457
113.0,3.458,3.457
113.5,3.456,3.456
114.0,3.456,3.456
114.5,3.456,3.456
115.0,3.456,3.456
115.5,3.456,3.456
116.0,3.456,3.456
116.5,3.456,3.456
117.0,3.455,3.455
117.5,3.454,3.454
118.0,3.454,3.454
118.5,3.454,3.454
119.0,3.453,3.454
119.5,3.453,3.453
120.0,3.454,3.453
120.5,3.452,3.453
121.0,3.453,3.452
121.5,3.452,3.452
122.0,3.451,3.451
122.5,3.451,3.451
123.0,3.451,3.451
123.5,3.451,3.451
124.0,3.451,3.451
124.5,3.451,3.451
125.0,3.451,3.451
125.5,3.451,3.451
126.0,3.451,3.451
126.5,3.45,3.451
127.0,3.451,3.45
127.5,3.45,3.45
128.0,3.45,3.45
128.5,3.448,3.449
129.0,3.449,3.449
129.5,3.448,3.448
130.0,3.448,3.448
130.5,3.449,3.448
131.0,3.448,3.448
131.5,3.448,3.448
132.0,3.448,3.448
132.5,3.447,3.447
133.0,3.447,3.447
133.5,3.446,3.446
134.0,3.446,3.446
134.5,3.446,3.446
135.0,3.446,3.446
135.5,3.445,3.445
136.0,3.445,3.445
136.5,3.445,3.445
137.0,3.445,3.445
137.5,3.444,3.444
138.0,3.444,3.444
138.5,3.444,3.444
139.0,3.444,3.444
139.5,3.443,3.443
140.0,3.443,3.443
140.5,3.442,3.442
141.0,3.442,3.442
141.5,3.442,3.442
142.0,3.441,3.442
142.5,3.442,3.441
143.0,3.441,3.441
143.5,3.441,3.441
144.0,3.44,3.44
144.5,3.44,3.44
145.0,3.439,3.439
145.5,3.438,3.439
146.0,3.438,3.439
146.5,3.439,3.438
147.0,3.439,3.438
147.5,3.438,3.438
148.0,3.438,3.438
148.5,3.437,3.437
149.0,3.437,3.437
149.5,3.437,3.437
150.0,3.437,3.437
150.5,3.436,3.436
151.0,3.436,3.436
151.5,3.435,3.435
152.0,3.435,3.435
152.5,3.435,3.435
153.0,3.434,3.434
153.5,3.434,3.434
154.0,3.433,3.433
154.5,3.433,3.433
155.0,3.431,3.432
155.5,3.432,3.431
156.0,3.431,3.431
156.5,3.431,3.431
157.0,3.431,3.431
157.5,3.43,3.43
158.0,3.43,3.43
158.5,3.429,3.429
159.0,3.428,3.428
159.5,3.427,3.427
160.0,3.427,3.427
160.5,3.427,3.427
161.0,3.427,3.427
161.5,3.427,3.427
162.0,3.426,3.426
162.5,3.425,3.425
163.0,3.424,3.425
163.5,3.425,3.424
164.0,3.424,3.424
164.5,3.423,3.423
165.0,3.423,3.423
165.5,3.423,3.423
166.0,3.423,3.423
166.5,3.422,3.422
167.0,3.422,3.422
167.5,3.421,3.421
168.0,3.421,3.421
168.5,3.421,3.421
169.0,3.421,3.421
169.5,3.421,3.421
170.0,3.419,3.419
170.5,3.419,3.419
171.0,3.418,3.418
171.5,3.418,3.418
172.0,3.418,3.418
