time_s,force_V,confident,digits
56.5,3.187,True,"[0, 3, 1, 8, 7]"
57.0,3.177,True,"[0, 3, 1, 7, 7]"
57.5,3.177,True,"[0, 3, 1, 7, 7]"
58.0,3.187,True,"[0, 3, 1, 8, 7]"
58.5,3.187,True,"[0, 3, 1, 8, 7]"
59.0,3.177,True,"[0, 3, 1, 7, 7]"
59.5,3.187,True,"[0, 3, 1, 8, 7]"
60.0,3.157,True,"[0, 3, 1, 5, 7]"
60.5,3.157,True,"[0, 3, 1, 5, 7]"
61.0,3.177,True,"[0, 3, 1, 7, 7]"
61.5,3.187,True,"[0, 3, 1, 8, 7]"
62.0,3.187,True,"[0, 3, 1, 8, 7]"
62.5,3.157,True,"[0, 3, 1, 5, 7]"
63.0,3.177,True,"[0, 3, 1, 7, 7]"
63.5,3.177,True,"[0, 3, 1, 7, 7]"
64.0,3.177,True,"[0, 3, 1, 7, 7]"
64.5,3.177,True,"[0, 3, 1, 7, 7]"
65.0,3.157,True,"[0, 3, 1, 5, 7]"
65.5,3.157,True,"[0, 3, 1, 5, 7]"
66.0,3.177,True,"[0, 3, 1, 7, 7]"
66.5,3.157,True,"[0, 3, 1, 5, 7]"
67.0,3.157,True,"[0, 3, 1, 5, 7]"
67.5,3.157,True,"[0, 3, 1, 5, 7]"
68.0,3.157,True,"[0, 3, 1, 5, 7]"
68.5,3.157,True,"[0, 3, 1, 5, 7]"
69.0,3.157,True,"[0, 3, 1, 5, 7]"
69.5,3.157,True,"[0, 3, 1, 5, 7]"
70.0,3.157,True,"[0, 3, 1, 5, 7]"
70.5,3.157,True,"[0, 3, 1, 5, 7]"
71.0,3.157,True,"[0, 3, 1, 5, 7]"
71.5,3.187,True,"[0, 3, 1, 8, 7]"
72.0,3.157,True,"[0, 3, 1, 5, 7]"
72.5,3.187,True,"[0, 3, 1, 8, 7]"
73.0,3.187,True,"[0, 3, 1, 8, 7]"
73.5,3.157,True,"[0, 3, 1, 5, 7]"
74.0,3.187,True,"[0, 3, 1, 8, 7]"
74.5,3.187,True,"[0, 3, 1, 8, 7]"
75.0,3.187,True,"[0, 3, 1, 8, 7]"
75.5,3.187,True,"[0, 3, 1, 8, 7]"
76.0,3.187,True,"[0, 3, 1, 8, 7]"
76.5,3.187,True,"[0, 3, 1, 8, 7]"
77.0,3.187,True,"[0, 3, 1, 8, 7]"
77.5,3.187,True,"[0, 3, 1, 8, 7]"
78.0,3.187,True,"[0, 3, 1, 8, 7]"
78.5,3.187,True,"[0, 3, 1, 8, 7]"
79.0,3.187,True,"[0, 3, 1, 8, 7]"
79.5,3.187,True,"[0, 3, 1, 8, 7]"
80.0,3.187,True,"[0, 3, 1, 8, 7]"
80.5,3.187,True,"[0, 3, 1, 8, 7]"
81.0,3.187,True,"[0, 3, 1, 8, 7]"
81.5,3.187,True,"[0, 3, 1, 8, 7]"
82.0,3.187,True,"[0, 3, 1, 8, 7]"
82.5,3.187,True,"[0, 3, 1, 8, 7]"
83.0,3.187,True,"[0, 3, 1, 8, 7]"
83.5,3.187,True,"[0, 3, 1, 8, 7]"
84.0,3.187,True,"[0, 3, 1, 8, 7]"
84.5,3.147,True,"[0, 3, 1, 4, 7]"
85.0,3.14,True,"[0, 3, 1, 4, 0]"
85.5,3.147,True,"[0, 3, 1, 4, 7]"
86.0,3.147,True,"[0, 3, 1, 4, 7]"
86.5,3.147,True,"[0, 3, 1, 4, 7]"
87.0,3.14,True,"[0, 3, 1, 4, 0]"
87.5,3.147,True,"[0, 3, 1, 4, 7]"
88.0,3.147,True,"[0, 3, 1, 4, 7]"
88.5,3.147,True,"[0, 3, 1, 4, 7]"
89.0,3.147,True,"[0, 3, 1, 4, 7]"
89.5,3.147,True,"[0, 3, 1, 4, 7]"
90.0,3.147,True,"[0, 3, 1, 4, 7]"
90.5,3.147,True,"[0, 3, 1, 4, 7]"
91.0,3.157,True,"[0, 3, 1, 5, 7]"
91.5,3.147,True,"[0, 3, 1, 4, 7]"
92.0,3.15,True,"[0, 3, 1, 5, 0]"
92.5,3.147,True,"[0, 3, 1, 4, 7]"
93.0,3.157,True,"[0, 3, 1, 5, 7]"
93.5,3.157,True,"[0, 3, 1, 5, 7]"
94.0,3.147,True,"[0, 3, 1, 4, 7]"
94.5,3.15,True,"[0, 3, 1, 5, 0]"
95.0,3.11,True,"[0, 3, 1, 1, 0]"
95.5,3.15,True,"[0, 3, 1, 5, 0]"
96.0,3.157,True,"[0, 3, 1, 5, 7]"
96.5,3.157,True,"[0, 3, 1, 5, 7]"
97.0,3.14,True,"[0, 3, 1, 4, 0]"
97.5,3.157,True,"[0, 3, 1, 5, 7]"
98.0,3.157,True,"[0, 3, 1, 5, 7]"
98.5,3.15,True,"[0, 3, 1, 5, 0]"
99.0,3.15,True,"[0, 3, 1, 5, 0]"
99.5,3.15,True,"[0, 3, 1, 5, 0]"
100.0,3.157,True,"[0, 3, 1, 5, 7]"
100.5,3.15,True,"[0, 3, 1, 5, 0]"
101.0,3.157,True,"[0, 3, 1, 5, 7]"
101.5,3.157,True,"[0, 3, 1, 5, 7]"
102.0,3.15,True,"[0, 3, 1, 5, 0]"
102.5,3.157,True,"[0, 3, 1, 5, 7]"
103.0,3.15,True,"[0, 3, 1, 5, 0]"
103.5,3.157,True,"[0, 3, 1, 5, 7]"
104.0,3.11,True,"[0, 3, 1, 1, 0]"
104.5,3.157,True,"[0, 3, 1, 5, 7]"
105.0,3.157,True,"[0, 3, 1, 5, 7]"
105.5,3.157,True,"[0, 3, 1, 5, 7]"
106.0,3.15,True,"[0, 3, 1, 5, 0]"
106.5,3.15,True,"[0, 3, 1, 5, 0]"
107.0,3.14,True,"[0, 3, 1, 4, 0]"
107.5,3.15,True,"[0, 3, 1, 5, 0]"
108.0,3.15,True,"[0, 3, 1, 5, 0]"
108.5,3.15,True,"[0, 3, 1, 5, 0]"
109.0,3.157,True,"[0, 3, 1, 5, 7]"
109.5,3.15,True,"[0, 3, 1, 5, 0]"
110.0,3.15,True,"[0, 3, 1, 5, 0]"
110.5,3.157,True,"[0, 3, 1, 5, 7]"
111.0,3.15,True,"[0, 3, 1, 5, 0]"
111.5,3.157,True,"[0, 3, 1, 5, 7]"
112.0,3.157,True,"[0, 3, 1, 5, 7]"
112.5,3.15,True,"[0, 3, 1, 5, 0]"
113.0,3.157,True,"[0, 3, 1, 5, 7]"
113.5,3.157,True,"[0, 3, 1, 5, 7]"
114.0,3.157,True,"[0, 3, 1, 5, 7]"
114.5,3.157,True,"[0, 3, 1, 5, 7]"
115.0,3.157,True,"[0, 3, 1, 5, 7]"
115.5,3.157,True,"[0, 3, 1, 5, 7]"
116.0,3.157,True,"[0, 3, 1, 5, 7]"
116.5,3.157,True,"[0, 3, 1, 5, 7]"
117.0,3.15,True,"[0, 3, 1, 5, 0]"
117.5,3.157,True,"[0, 3, 1, 5, 7]"
118.0,3.157,True,"[0, 3, 1, 5, 7]"
118.5,3.157,True,"[0, 3, 1, 5, 7]"
119.0,3.15,True,"[0, 3, 1, 5, 0]"
119.5,3.157,True,"[0, 3, 1, 5, 7]"
120.0,3.15,True,"[0, 3, 1, 5, 0]"
120.5,3.15,True,"[0, 3, 1, 5, 0]"
121.0,3.157,True,"[0, 3, 1, 5, 7]"
121.5,3.15,True,"[0, 3, 1, 5, 0]"
122.0,3.157,True,"[0, 3, 1, 5, 7]"
122.5,3.157,True,"[0, 3, 1, 5, 7]"
123.0,3.15,True,"[0, 3, 1, 5, 0]"
123.5,3.157,True,"[0, 3, 1, 5, 7]"
124.0,3.15,True,"[0, 3, 1, 5, 0]"
124.5,3.15,True,"[0, 3, 1, 5, 0]"
125.0,3.15,True,"[0, 3, 1, 5, 0]"
125.5,3.15,True,"[0, 3, 1, 5, 0]"
126.0,3.15,True,"[0, 3, 1, 5, 0]"
126.5,3.15,True,"[0, 3, 1, 5, 0]"
127.0,3.15,True,"[0, 3, 1, 5, 0]"
127.5,3.15,True,"[0, 3, 1, 5, 0]"
128.0,3.15,True,"[0, 3, 1, 5, 0]"
