time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
7.6,5682.25,0.8,11.818,2.3634,134.59563,0.17733284584980236
7.7,5687.02,0.8,11.818,2.3634,134.59563,0.17733284584980236
7.8,5689.41,0.8,11.82,2.3634,134.59563,0.17733284584980236
7.9,5692.27,0.8,11.82,2.3634,134.59563,0.17733284584980236
8.0,5698.47,0.8,11.82,2.3634,134.59563,0.17733284584980236
8.1,5703.71,0.8,11.82,2.3634,134.59563,0.17733284584980236
8.2,5706.57,0.8,11.82,2.3634,134.59563,0.17733284584980236
8.3,5711.82,0.8,11.813,2.3634,134.59563,0.17733284584980236
8.4,5717.06,0.8,11.813,2.3634,134.59563,0.17733284584980236
8.5,5720.88,0.8,11.813,2.3634,134.59563,0.17733284584980236
8.6,5720.4,0.8,11.813,2.3634,134.59563,0.17733284584980236
8.7,5724.69,0.8,11.813,2.3634,134.59563,0.17733284584980236
8.8,5727.55,0.8,11.814,2.3634,134.59563,0.17733284584980236
8.9,5731.37,0.8,11.814,2.3634,134.59563,0.17733284584980236
9.0,5736.14,0.8,11.814,2.3634,134.59563,0.17733284584980236
9.1,5739.0,0.8,11.814,2.3634,134.59563,0.17733284584980236
9.2,5740.9,0.8,11.814,2.3634,134.59563,0.17733284584980236
9.3,5751.87,0.8,11.817,2.3634,134.59563,0.17733284584980236
9.4,5752.83,0.8,11.817,2.3634,134.59563,0.17733284584980236
9.5,5759.02,0.8,11.817,2.3634,134.59563,0.17733284584980236
9.6,5761.89,0.8,11.817,2.3634,134.59563,0.17733284584980236
9.7,5763.79,0.8,11.817,2.3634,134.59563,0.17733284584980236
9.8,5765.22,0.8,11.819,2.3634,134.59563,0.17733284584980236
9.9,5770.95,0.8,11.819,2.3634,134.59563,0.17733284584980236
10.0,5770.47,0.8,11.819,2.3634,134.59563,0.17733284584980236
10.1,5774.28,0.8,11.819,2.3634,134.59563,0.17733284584980236
10.2,5779.05,0.8,11.819,2.3634,134.59563,0.17733284584980236
10.3,5780.48,0.8,11.815,2.3634,134.59563,0.17733284584980236
10.4,5790.02,0.8,11.815,2.3634,134.59563,0.17733284584980236
10.5,5788.59,0.8,11.815,2.3634,134.59563,0.17733284584980236
10.6,5792.88,0.8,11.815,2.3634,134.59563,0.17733284584980236
10.7,5792.4,0.8,11.815,2.3634,134.59563,0.17733284584980236
10.8,5795.26,0.8,11.817,2.3634,134.59563,0.17733284584980236
10.9,5799.08,0.8,11.817,2.3634,134.59563,0.17733284584980236
11.0,5801.46,0.8,11.817,2.3634,134.59563,0.17733284584980236
11.1,5809.57,0.8,11.817,2.3634,134.59563,0.17733284584980236
11.2,5811.95,0.8,11.817,2.3634,134.59563,0.17733284584980236
11.3,5814.81,0.8,11.815,2.3634,134.59563,0.17733284584980236
11.4,5812.91,0.8,11.815,2.3634,134.59563,0.17733284584980236
11.5,5821.01,0.8,11.815,2.3634,134.59563,0.17733284584980236
11.6,5816.72,0.8,11.815,2.3634,134.59563,0.17733284584980236
