time_s,current_uA,applied_V,force_V,confident,force_mN
13.3,6007.46,0.8,3.585,True,200.76
13.4,6007.46,0.8,3.585,True,200.76
13.5,6008.41,0.8,3.585,True,200.76
13.6,6007.46,0.8,3.585,True,200.76
13.7,6011.27,0.8,3.585,True,200.76
13.8,6015.09,0.8,3.588,True,200.928
13.9,6012.7,0.8,3.588,True,200.928
14.0,6014.13,0.8,3.588,True,200.928
14.1,6014.61,0.8,3.588,True,200.928
14.2,6014.61,0.8,3.588,True,200.928
14.3,6011.75,0.8,3.588,True,200.928
14.4,6009.36,0.8,3.588,True,200.928
14.5,6010.79,0.8,3.588,True,200.928
14.6,6009.84,0.8,3.588,True,200.928
14.7,6014.61,0.8,3.588,True,200.928
14.8,6016.99,0.8,3.587,True,200.872
14.9,6020.45,0.8,3.587,True,200.872
15.0,6024.62,0.8,3.587,True,200.872
15.1,6025.58,0.8,3.587,True,200.872
15.2,6026.53,0.8,3.587,True,200.872
15.3,6029.87,0.8,3.587,True,200.872
15.4,6032.25,0.8,3.587,True,200.872
15.5,6034.16,0.8,3.587,True,200.872
15.6,6037.5,0.8,3.587,True,200.872
15.7,6043.7,0.8,3.587,True,200.872
15.8,6045.6,0.8,3.587,True,200.872
15.9,6040.84,0.8,3.587,True,200.872
16.0,6036.54,0.8,3.587,True,200.872
16.1,6039.88,0.8,3.587,True,200.872
16.2,6038.93,0.8,3.587,True,200.872
16.3,6036.07,0.8,3.588,True,200.928
16.4,6042.74,0.8,3.588,True,200.928
16.5,6046.08,0.8,3.588,True,200.928
16.6,6044.17,0.8,3.588,True,200.928
16.7,6038.93,0.8,3.588,True,200.928
16.8,6037.5,0.8,3.588,True,200.928
16.9,6041.31,0.8,3.588,True,200.928
17.0,6045.13,0.8,3.588,True,200.928
17.1,6043.7,0.8,3.588,True,200.928
17.2,6049.42,0.8,3.588,True,200.928
17.3,6048.94,0.8,3.588,True,200.928
17.4,6051.33,0.8,3.588,True,200.928
17.5,6052.76,0.8,3.588,True,200.928
17.6,6053.23,0.8,3.588,True,200.928
17.7,6053.11,0.8,3.588,True,200.928
17.8,6053.71,0.8,3.588,True,200.928
17.9,6052.76,0.8,3.588,True,200.928
18.0,6055.74,0.8,3.588,True,200.928
18.1,6058.0,0.8,3.588,True,200.928
18.2,6058.48,0.8,3.588,True,200.928
18.3,6066.11,0.8,3.565,True,199.64
18.4,6063.25,0.8,3.565,True,199.64
18.5,6066.58,0.8,3.565,True,199.64
18.6,6063.25,0.8,3.565,True,199.64
18.7,6065.15,0.8,3.565,True,199.64
18.8,6067.54,0.8,3.585,True,200.76
18.9,6071.35,0.8,3.585,True,200.76
19.0,6070.88,0.8,3.585,True,200.76
19.1,6078.51,0.8,3.585,True,200.76
19.2,6079.94,0.8,3.585,True,200.76
19.3,6076.6,0.8,3.584,True,200.704
19.4,6079.46,0.8,3.584,True,200.704
19.5,6078.98,0.8,3.584,True,200.704
19.6,6078.03,0.8,3.584,True,200.704
19.7,6077.55,0.8,3.584,True,200.704
19.8,6079.46,0.8,3.585,True,200.76
19.9,6080.89,0.8,3.585,True,200.76
20.0,6083.75,0.8,3.585,True,200.76
20.1,6084.23,0.8,3.585,True,200.76
20.2,6078.98,0.8,3.585,True,200.76
20.3,6080.41,0.8,3.584,True,200.704
20.4,6084.23,0.8,3.584,True,200.704
20.5,6087.09,0.8,3.584,True,200.704
20.6,6085.66,0.8,3.584,True,200.704
20.7,6086.61,0.8,3.584,True,200.704
20.8,6081.37,0.8,3.565,True,199.64
20.9,6085.18,0.8,3.565,True,199.64
21.0,6083.27,0.8,3.565,True,199.64
21.1,6086.61,0.8,3.565,True,199.64
21.2,6085.18,0.8,3.565,True,199.64
21.3,6086.13,0.8,3.585,True,200.76
21.4,6086.61,0.8,3.585,True,200.76
21.5,6087.57,0.8,3.585,True,200.76
21.6,6089.95,0.8,3.585,True,200.76
21.7,6088.52,0.8,3.585,True,200.76
21.8,6095.67,0.8,3.584,True,200.704
21.9,6091.86,0.8,3.584,True,200.704
22.0,6096.63,0.8,3.584,True,200.704
22.1,6099.01,0.8,3.584,True,200.704
22.2,6097.58,0.8,3.584,True,200.704
22.3,6099.61,0.8,3.584,True,200.704
22.4,6100.92,0.8,3.584,True,200.704
22.5,6100.92,0.8,3.584,True,200.704
22.6,6099.72,0.8,3.584,True,200.704
22.7,6099.01,0.8,3.584,True,200.704
22.8,6098.06,0.8,3.564,True,199.584
22.9,6099.96,0.8,3.564,True,199.584
23.0,6100.92,0.8,3.564,True,199.584
23.1,6100.92,0.8,3.564,True,199.584
23.2,6099.96,0.8,3.564,True,199.584
23.3,6099.96,0.8,3.584,True,200.704
23.4,6103.78,0.8,3.584,True,200.704
23.5,6102.35,0.8,3.584,True,200.704
23.6,6107.12,0.8,3.584,True,200.704
23.7,6108.07,0.8,3.584,True,200.704
23.8,6106.64,0.8,3.584,True,200.704
23.9,6107.95,0.8,3.584,True,200.704
24.0,6108.07,0.8,3.584,True,200.704
24.1,6109.02,0.8,3.584,True,200.704
24.2,6109.98,0.8,3.584,True,200.704
24.3,6109.02,0.8,3.584,True,200.704
24.4,6110.93,0.8,3.584,True,200.704
24.5,6112.36,0.8,3.584,True,200.704
24.6,6111.41,0.8,3.584,True,200.704
24.7,6111.41,0.8,3.584,True,200.704
24.8,6113.55,0.8,3.584,True,200.704
24.9,6113.79,0.8,3.584,True,200.704
25.0,6117.61,0.8,3.584,True,200.704
25.1,6116.65,0.8,3.584,True,200.704
25.2,6118.56,0.8,3.584,True,200.704
25.3,6121.9,0.8,3.588,True,200.928
25.4,6123.81,0.8,3.588,True,200.928
25.5,6124.28,0.8,3.588,True,200.928
25.6,6121.42,0.8,3.588,True,200.928
25.7,6119.04,0.8,3.588,True,200.928
25.8,6119.51,0.8,3.588,True,200.928
