time_s,force_V,confident,digits
0.0,11.868,True,"[1, 1, 8, 6, 8]"
0.5,11.868,True,"[1, 1, 8, 6, 8]"
1.0,11.869,True,"[1, 1, 8, 6, 9]"
1.5,11.865,True,"[1, 1, 8, 6, 5]"
2.0,11.861,True,"[1, 1, 8, 6, 1]"
2.5,11.868,True,"[1, 1, 8, 6, 8]"
3.0,11.868,True,"[1, 1, 8, 6, 8]"
3.5,11.861,True,"[1, 1, 8, 6, 1]"
4.0,11.868,True,"[1, 1, 8, 6, 8]"
4.5,11.861,True,"[1, 1, 8, 6, 1]"
5.0,11.861,True,"[1, 1, 8, 6, 1]"
5.5,11.861,True,"[1, 1, 8, 6, 1]"
6.0,11.868,True,"[1, 1, 8, 6, 8]"
6.5,11.865,True,"[1, 1, 8, 6, 5]"
7.0,11.861,True,"[1, 1, 8, 6, 1]"
7.5,11.868,True,"[1, 1, 8, 6, 8]"
8.0,11.828,True,"[1, 1, 8, 2, 8]"
8.5,11.863,True,"[1, 1, 8, 6, 3]"
9.0,11.864,True,"[1, 1, 8, 6, 4]"
9.5,11.861,True,"[1, 1, 8, 6, 1]"
10.0,11.869,True,"[1, 1, 8, 6, 9]"
10.5,11.865,True,"[1, 1, 8, 6, 5]"
11.0,11.861,True,"[1, 1, 8, 6, 1]"
11.5,11.865,True,"[1, 1, 8, 6, 5]"
12.0,11.861,True,"[1, 1, 8, 6, 1]"
12.5,11.861,True,"[1, 1, 8, 6, 1]"
13.0,11.863,True,"[1, 1, 8, 6, 3]"
13.5,11.869,True,"[1, 1, 8, 6, 9]"
14.0,11.863,True,"[1, 1, 8, 6, 3]"
14.5,11.865,True,"[1, 1, 8, 6, 5]"
15.0,11.868,True,"[1, 1, 8, 6, 8]"
15.5,11.861,True,"[1, 1, 8, 6, 1]"
16.0,11.868,True,"[1, 1, 8, 6, 8]"
16.5,11.861,True,"[1, 1, 8, 6, 1]"
17.0,11.861,True,"[1, 1, 8, 6, 1]"
17.5,11.863,True,"[1, 1, 8, 6, 3]"
18.0,11.865,True,"[1, 1, 8, 6, 5]"
18.5,11.865,True,"[1, 1, 8, 6, 5]"
19.0,11.864,True,"[1, 1, 8, 6, 4]"
19.5,11.868,True,"[1, 1, 8, 6, 8]"
20.0,11.861,True,"[1, 1, 8, 6, 1]"
20.5,11.868,True,"[1, 1, 8, 6, 8]"
21.0,11.863,True,"[1, 1, 8, 6, 3]"
21.5,11.864,True,"[1, 1, 8, 6, 4]"
22.0,11.861,True,"[1, 1, 8, 6, 1]"
22.5,11.868,True,"[1, 1, 8, 6, 8]"
23.0,11.865,True,"[1, 1, 8, 6, 5]"
23.5,11.868,True,"[1, 1, 8, 6, 8]"
24.0,11.861,True,"[1, 1, 8, 6, 1]"
24.5,11.863,True,"[1, 1, 8, 6, 3]"
25.0,11.865,True,"[1, 1, 8, 6, 5]"
25.5,11.861,True,"[1, 1, 8, 6, 1]"
26.0,11.865,True,"[1, 1, 8, 6, 5]"
26.5,11.863,True,"[1, 1, 8, 6, 3]"
27.0,11.864,True,"[1, 1, 8, 6, 4]"
27.5,11.865,True,"[1, 1, 8, 6, 5]"
28.0,11.869,True,"[1, 1, 8, 6, 9]"
28.5,11.865,True,"[1, 1, 8, 6, 5]"
29.0,11.863,True,"[1, 1, 8, 6, 3]"
29.5,11.863,True,"[1, 1, 8, 6, 3]"
30.0,11.869,True,"[1, 1, 8, 6, 9]"
30.5,11.864,True,"[1, 1, 8, 6, 4]"
31.0,11.863,True,"[1, 1, 8, 6, 3]"
31.5,11.863,True,"[1, 1, 8, 6, 3]"
32.0,11.868,True,"[1, 1, 8, 6, 8]"
32.5,11.863,True,"[1, 1, 8, 6, 3]"
33.0,11.863,True,"[1, 1, 8, 6, 3]"
33.5,11.865,True,"[1, 1, 8, 6, 5]"
34.0,11.864,True,"[1, 1, 8, 6, 4]"
34.5,11.864,True,"[1, 1, 8, 6, 4]"
35.0,11.864,True,"[1, 1, 8, 6, 4]"
35.5,11.864,True,"[1, 1, 8, 6, 4]"
36.0,11.865,True,"[1, 1, 8, 6, 5]"
36.5,11.863,True,"[1, 1, 8, 6, 3]"
37.0,11.863,True,"[1, 1, 8, 6, 3]"
37.5,11.863,True,"[1, 1, 8, 6, 3]"
38.0,11.863,True,"[1, 1, 8, 6, 3]"
38.5,11.864,True,"[1, 1, 8, 6, 4]"
39.0,11.869,True,"[1, 1, 8, 6, 9]"
39.5,11.863,True,"[1, 1, 8, 6, 3]"
40.0,11.864,True,"[1, 1, 8, 6, 4]"
40.5,11.865,True,"[1, 1, 8, 6, 5]"
41.0,11.863,True,"[1, 1, 8, 6, 3]"
41.5,11.863,True,"[1, 1, 8, 6, 3]"
42.0,11.863,True,"[1, 1, 8, 6, 3]"
42.5,11.865,True,"[1, 1, 8, 6, 5]"
43.0,11.864,True,"[1, 1, 8, 6, 4]"
43.5,11.863,True,"[1, 1, 8, 6, 3]"
44.0,11.863,True,"[1, 1, 8, 6, 3]"
44.5,11.869,True,"[1, 1, 8, 6, 9]"
45.0,11.865,True,"[1, 1, 8, 6, 5]"
45.5,11.864,True,"[1, 1, 8, 6, 4]"
46.0,11.863,True,"[1, 1, 8, 6, 3]"
46.5,11.863,True,"[1, 1, 8, 6, 3]"
47.0,11.868,True,"[1, 1, 8, 6, 8]"
47.5,11.863,True,"[1, 1, 8, 6, 3]"
48.0,11.863,True,"[1, 1, 8, 6, 3]"
48.5,11.863,True,"[1, 1, 8, 6, 3]"
49.0,11.869,True,"[1, 1, 8, 6, 9]"
49.5,11.863,True,"[1, 1, 8, 6, 3]"
50.0,11.868,True,"[1, 1, 8, 6, 8]"
50.5,11.863,True,"[1, 1, 8, 6, 3]"
51.0,11.869,True,"[1, 1, 8, 6, 9]"
51.5,11.863,True,"[1, 1, 8, 6, 3]"
52.0,11.863,True,"[1, 1, 8, 6, 3]"
52.5,11.868,True,"[1, 1, 8, 6, 8]"
53.0,11.808,True,"[1, 1, 8, 0, 8]"
53.5,11.801,True,"[1, 1, 8, 0, 1]"
54.0,11.809,True,"[1, 1, 8, 0, 9]"
54.5,11.801,True,"[1, 1, 8, 0, 1]"
55.0,11.805,True,"[1, 1, 8, 0, 5]"
55.5,11.808,True,"[1, 1, 8, 0, 8]"
56.0,11.803,True,"[1, 1, 8, 0, 3]"
56.5,11.804,True,"[1, 1, 8, 0, 4]"
57.0,11.808,True,"[1, 1, 8, 0, 8]"
57.5,11.805,True,"[1, 1, 8, 0, 5]"
58.0,11.868,True,"[1, 1, 8, 6, 8]"
58.5,11.809,True,"[1, 1, 8, 0, 9]"
59.0,11.808,True,"[1, 1, 8, 0, 8]"
59.5,11.808,True,"[1, 1, 8, 0, 8]"
60.0,11.808,True,"[1, 1, 8, 0, 8]"
60.5,11.869,True,"[1, 1, 8, 6, 9]"
61.0,11.863,True,"[1, 1, 8, 6, 3]"
61.5,11.869,True,"[1, 1, 8, 6, 9]"
62.0,11.863,True,"[1, 1, 8, 6, 3]"
62.5,11.869,True,"[1, 1, 8, 6, 9]"
63.0,11.865,True,"[1, 1, 8, 6, 5]"
63.5,11.809,True,"[1, 1, 8, 0, 9]"
