time_s,current_uA,applied_V,force_V,confident,force_mN
11.8,3929.39,0.8,3.187,True,178.47199999999998
11.9,3938.93,0.8,3.187,True,178.47199999999998
12.0,3933.21,0.8,3.187,True,178.47199999999998
12.1,3937.97,0.8,3.187,True,178.47199999999998
12.2,3947.99,0.8,3.187,True,178.47199999999998
12.3,3939.4,0.8,3.187,True,178.47199999999998
12.4,3943.7,0.8,3.187,True,178.47199999999998
12.5,3958.0,0.8,3.187,True,178.47199999999998
12.6,3946.56,0.8,3.187,True,178.47199999999998
12.7,3954.66,0.8,3.187,True,178.47199999999998
12.8,3964.68,0.8,3.187,True,178.47199999999998
12.9,3953.71,0.8,3.187,True,178.47199999999998
13.0,3962.29,0.8,3.187,True,178.47199999999998
13.1,3966.58,0.8,3.187,True,178.47199999999998
13.2,3961.34,0.8,3.187,True,178.47199999999998
13.3,3967.06,0.8,3.187,True,178.47199999999998
13.4,3969.45,0.8,3.187,True,178.47199999999998
13.5,3970.88,0.8,3.187,True,178.47199999999998
13.6,3977.07,0.8,3.187,True,178.47199999999998
13.7,3977.07,0.8,3.187,True,178.47199999999998
13.8,3978.51,0.8,3.187,True,178.47199999999998
13.9,3980.29,0.8,3.187,True,178.47199999999998
14.0,3983.27,0.8,3.187,True,178.47199999999998
14.1,3982.32,0.8,3.187,True,178.47199999999998
14.2,3986.13,0.8,3.187,True,178.47199999999998
14.3,3989.47,0.8,3.157,True,176.792
14.4,3994.24,0.8,3.157,True,176.792
14.5,3993.29,0.8,3.157,True,176.792
14.6,3998.06,0.8,3.157,True,176.792
14.7,4002.35,0.8,3.157,True,176.792
14.8,4000.92,0.8,3.157,True,176.792
14.9,4003.78,0.8,3.157,True,176.792
15.0,4006.16,0.8,3.157,True,176.792
15.1,4007.59,0.8,3.157,True,176.792
15.2,4007.12,0.8,3.157,True,176.792
15.3,4011.88,0.8,3.187,True,178.47199999999998
15.4,4012.36,0.8,3.187,True,178.47199999999998
15.5,4013.31,0.8,3.187,True,178.47199999999998
15.6,4016.89,0.8,3.187,True,178.47199999999998
15.7,4022.37,0.8,3.187,True,178.47199999999998
15.8,4019.51,0.8,3.187,True,178.47199999999998
15.9,4031.91,0.8,3.187,True,178.47199999999998
16.0,4027.14,0.8,3.187,True,178.47199999999998
16.1,4031.79,0.8,3.187,True,178.47199999999998
16.2,4034.3,0.8,3.187,True,178.47199999999998
16.3,4033.82,0.8,3.187,True,178.47199999999998
16.4,4036.92,0.8,3.187,True,178.47199999999998
16.5,4039.54,0.8,3.187,True,178.47199999999998
16.6,4040.02,0.8,3.187,True,178.47199999999998
16.7,4037.16,0.8,3.187,True,178.47199999999998
16.8,4041.92,0.8,3.187,True,178.47199999999998
16.9,4045.74,0.8,3.187,True,178.47199999999998
17.0,4046.69,0.8,3.187,True,178.47199999999998
17.1,4045.26,0.8,3.187,True,178.47199999999998
17.2,4049.08,0.8,3.187,True,178.47199999999998
17.3,4050.51,0.8,3.187,True,178.47199999999998
17.4,4052.89,0.8,3.187,True,178.47199999999998
17.5,4056.23,0.8,3.187,True,178.47199999999998
17.6,4060.04,0.8,3.187,True,178.47199999999998
17.7,4057.66,0.8,3.187,True,178.47199999999998
17.8,4061.95,0.8,3.187,True,178.47199999999998
17.9,4067.2,0.8,3.187,True,178.47199999999998
18.0,4062.43,0.8,3.187,True,178.47199999999998
18.1,4066.24,0.8,3.187,True,178.47199999999998
18.2,4072.44,0.8,3.187,True,178.47199999999998
18.3,4071.49,0.8,3.187,True,178.47199999999998
18.4,4074.59,0.8,3.187,True,178.47199999999998
18.5,4078.16,0.8,3.187,True,178.47199999999998
18.6,4076.26,0.8,3.187,True,178.47199999999998
18.7,4078.64,0.8,3.187,True,178.47199999999998
18.8,4080.07,0.8,3.187,True,178.47199999999998
18.9,4082.46,0.8,3.187,True,178.47199999999998
19.0,4084.84,0.8,3.187,True,178.47199999999998
19.1,4084.84,0.8,3.187,True,178.47199999999998
19.2,4087.7,0.8,3.187,True,178.47199999999998
19.3,4089.13,0.8,3.177,True,177.912
19.4,4091.04,0.8,3.177,True,177.912
19.5,4093.9,0.8,3.177,True,177.912
19.6,4094.38,0.8,3.177,True,177.912
19.7,4094.85,0.8,3.177,True,177.912
19.8,4097.71,0.8,3.187,True,178.47199999999998
19.9,4101.05,0.8,3.187,True,178.47199999999998
20.0,4103.91,0.8,3.187,True,178.47199999999998
20.1,4102.96,0.8,3.187,True,178.47199999999998
20.2,4105.82,0.8,3.187,True,178.47199999999998
