length_mm,mean_voltage,std_voltage,min_voltage,max_voltage,n_points,time_range
1,2.5554430379746838,0.032052072677482314,2.46,2.59,79,50-70s
2,0.19081012658227847,0.009260062538224301,0.138,0.199,79,80-100s
3,-2.2432323232323235,0.03451915828264038,-2.34,-2.2,99,125-150s
4,-4.657627118644067,0.04552291220655372,-4.75,-4.6,118,160-190s
5,-7.070632911392404,0.07736714659683694,-7.22,-7.0,79,210-230s
6,-9.540672268907562,0.06157227211311421,-9.7,-9.44,119,240-270s
