group,mean_maxdefl,sem_maxdefl,n_maxdefl,mean_p2p,sem_p2p,n_p2p
fresh,6.466303561762678,0.32953048359662496,4,6.927762718208748,0.4596597812626635,4
fresh_double_actuator,4.765754984700154,0.26716642432231286,2,6.091536581703387,1.0152465429452626,2
5%_formalin_2day,1.6240076039733107,0.1445268781749552,4,1.689198007889081,0.176275616578562,4
2.5%_formalin_1day,1.3186652586085863,0.32800882888754596,3,1.490488812119571,0.39116282460835394,3
70%_EtOH_1day,1.241561811808807,0.5633269408258288,3,1.6230991716654362,1.030264375047784,3
70%_EtOH_1day_core_removed,4.644978214618499,0.32276364066556285,4,4.839240150967861,0.4459521401786932,4
70%_EtOH_4day,1.8826947545297597,,1,1.98765817067842,,1
