condition,trial_file,slip,cycle,energy_mJ
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,41,0.5258950000000198
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,42,0.528064999999998
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,43,0.5156700000000569
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,44,0.5124749999999949
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,45,0.5131649999999581
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,46,0.5049199999999985
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,47,0.5129349999999704
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,48,0.5059400000000096
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,49,0.5014149999999802
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,50,0.5033449999999959
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,51,0.5063499999999408
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,52,0.5018349999999998
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,53,0.501989999999978
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,54,0.49786000000000286
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,55,0.4976999999999805
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,56,0.5040699999999845
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,57,0.4982300000000066
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,58,0.49251499999999737
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,59,0.4980150000000094
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,60,0.4979399999999998
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,61,0.49484999999998536
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,62,0.4953100000000177
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,63,0.48450500000001284
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,64,0.4975299999999834
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,65,0.48479500000004805
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,66,0.47944000000001097
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,67,0.4888650000000041
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,68,0.4891149999999982
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,69,0.482184999999987
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,70,0.4866700000000037
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,71,0.48646999999996865
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,72,0.486489999999975
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,73,0.48267500000002883
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,74,0.48049499999999057
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,75,0.4768149999999878
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,76,0.48003999999997404
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,77,0.480199999999968
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,78,0.48492000000001667
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,79,0.4803349999999966
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,80,0.48274000000003525
10% formalin / no glycerin,10%-formalin-noglyc_11.46x4.25-9.85x4_20260304_155209.is_tcyclic.csv,,81,0.47971499999997036
