frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
89,3.56,1851.929,547.969,0.9973,0.0860,0.0243,0.0825
90,3.6,1850.890,546.973,0.9973,0.0606,0.0014,0.0606
91,3.64,1846.975,543.379,0.9975,0.0869,-0.0849,-0.0186
92,3.68,1840.880,537.995,0.9934,0.2585,-0.2191,-0.1372
93,3.72,1835.168,532.749,0.9944,0.4276,-0.3449,-0.2527
94,3.76,1829.382,528.614,0.9937,0.5842,-0.4724,-0.3438
95,3.8,1822.863,523.629,0.9928,0.7650,-0.6160,-0.4536
96,3.84,1813.767,517.394,0.9906,1.0078,-0.8163,-0.5910
97,3.88,1804.196,511.403,0.9923,1.2561,-1.0272,-0.7229
98,3.92,1798.299,501.902,0.9926,1.4859,-1.1570,-0.9322
99,3.96,1792.312,492.766,0.9935,1.7164,-1.2889,-1.1334
100,4.0,1785.225,486.940,0.9927,1.9184,-1.4450,-1.2618
101,4.04,1778.507,480.594,0.9919,2.1218,-1.5930,-1.4016
102,4.08,1773.675,475.255,0.9933,2.2795,-1.6994,-1.5192
103,4.12,1769.449,471.275,0.9921,2.4073,-1.7925,-1.6068
104,4.16,1765.631,467.641,0.9927,2.5233,-1.8766,-1.6869
105,4.2,1764.119,467.620,0.9935,2.5485,-1.9099,-1.6873
106,4.24,1765.720,468.876,0.9924,2.5038,-1.8747,-1.6597
107,4.28,1766.383,469.610,0.9933,2.4821,-1.8600,-1.6435
108,4.32,1765.747,470.118,0.9928,2.4853,-1.8741,-1.6323
109,4.36,1764.952,471.260,0.9933,2.4821,-1.8916,-1.6071
110,4.4,1766.230,471.745,0.9934,2.4538,-1.8634,-1.5965
111,4.44,1766.973,472.107,0.9935,2.4362,-1.8471,-1.5885
112,4.48,1766.533,472.454,0.9931,2.4386,-1.8568,-1.5809
113,4.52,1766.258,472.588,0.9937,2.4413,-1.8628,-1.5779
114,4.56,1766.999,472.700,0.9939,2.4272,-1.8465,-1.5754
115,4.6,1767.599,473.538,0.9934,2.4052,-1.8333,-1.5570
116,4.64,1767.175,474.149,0.9928,2.4037,-1.8426,-1.5435
117,4.68,1767.553,474.205,0.9929,2.3965,-1.8343,-1.5423
118,4.72,1768.278,474.522,0.9935,2.3798,-1.8183,-1.5353
119,4.76,1767.727,474.668,0.9933,2.3870,-1.8304,-1.5321
120,4.8,1767.835,475.367,0.9934,2.3753,-1.8281,-1.5167
121,4.84,1769.160,475.751,0.9928,2.3475,-1.7989,-1.5082
122,4.88,1769.254,476.275,0.9922,2.3385,-1.7968,-1.4967
123,4.92,1768.272,476.335,0.9930,2.3543,-1.8185,-1.4954
124,4.96,1769.048,476.470,0.9927,2.3393,-1.8013,-1.4924
125,5.0,1769.607,476.877,0.9904,2.3241,-1.7890,-1.4834
126,5.04,1769.664,477.546,0.9913,2.3137,-1.7878,-1.4687
127,5.08,1769.720,477.715,0.9911,2.3104,-1.7866,-1.4650
128,5.12,1769.487,478.483,0.9907,2.3037,-1.7917,-1.4481
129,5.16,1771.309,478.368,0.9913,2.2742,-1.7515,-1.4506
130,5.2,1769.374,478.491,0.9912,2.3055,-1.7942,-1.4479
131,5.24,1769.520,478.097,0.9903,2.3085,-1.7909,-1.4565
132,5.28,1770.682,478.134,0.9909,2.2882,-1.7654,-1.4557
133,5.32,1770.298,479.376,0.9910,2.2774,-1.7738,-1.4284
134,5.36,1771.069,480.869,0.9909,2.2436,-1.7568,-1.3955
135,5.4,1772.736,480.976,0.9907,2.2135,-1.7201,-1.3931
136,5.44,1771.759,481.029,0.9913,2.2295,-1.7416,-1.3920
137,5.48,1771.381,480.959,0.9906,2.2370,-1.7500,-1.3935
138,5.52,1772.045,481.105,0.9912,2.2236,-1.7353,-1.3903
139,5.56,1773.429,482.965,0.9915,2.1742,-1.7049,-1.3493
140,5.6,1774.926,485.006,0.9923,2.1205,-1.6719,-1.3044
141,5.64,1777.506,487.828,0.9926,2.0375,-1.6150,-1.2422
142,5.68,1783.952,494.861,0.9907,1.8309,-1.4731,-1.0873
143,5.72,1793.886,506.713,0.9868,1.5019,-1.2542,-0.8262
144,5.76,1806.037,519.435,0.9871,1.1276,-0.9866,-0.5460
