frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
87,3.48,1529.622,351.211,0.9325,11.2455,-11.1824,-1.1895
88,3.52,1528.739,350.907,0.9320,11.3024,-11.2376,-1.2085
89,3.56,1527.918,350.588,0.9274,11.3555,-11.2889,-1.2285
90,3.6,1527.443,350.463,0.9279,11.3859,-11.3186,-1.2363
91,3.64,1526.825,350.483,0.9272,11.4241,-11.3572,-1.2350
92,3.68,1526.106,350.247,0.9270,11.4704,-11.4021,-1.2497
93,3.72,1525.458,350.109,0.9290,11.5116,-11.4426,-1.2584
94,3.76,1525.094,350.243,0.9262,11.5333,-11.4654,-1.2500
95,3.8,1524.743,350.576,0.9259,11.5529,-11.4873,-1.2292
96,3.84,1524.519,350.715,0.9271,11.5659,-11.5014,-1.2205
97,3.88,1524.271,350.853,0.9276,11.5804,-11.5168,-1.2119
98,3.92,1524.180,350.924,0.9268,11.5856,-11.5225,-1.2075
99,3.96,1523.816,351.259,0.9253,11.6061,-11.5453,-1.1865
100,4.0,1523.730,351.303,0.9251,11.6111,-11.5506,-1.1838
101,4.04,1523.863,351.255,0.9256,11.6032,-11.5424,-1.1868
102,4.08,1523.404,351.622,0.9249,11.6294,-11.5710,-1.1638
103,4.12,1523.421,351.937,0.9265,11.6264,-11.5700,-1.1441
104,4.16,1523.439,352.029,0.9270,11.6247,-11.5688,-1.1384
105,4.2,1523.234,352.275,0.9250,11.6360,-11.5816,-1.1230
106,4.24,1523.120,352.289,0.9240,11.6430,-11.5888,-1.1221
107,4.28,1522.761,352.631,0.9240,11.6633,-11.6112,-1.1008
108,4.32,1522.803,352.682,0.9246,11.6603,-11.6086,-1.0976
109,4.36,1522.823,352.889,0.9251,11.6579,-11.6073,-1.0846
110,4.4,1522.588,353.120,0.9248,11.6712,-11.6220,-1.0702
111,4.44,1522.433,353.113,0.9245,11.6809,-11.6317,-1.0706
112,4.48,1522.492,353.248,0.9243,11.6765,-11.6280,-1.0622
113,4.52,1522.324,353.349,0.9230,11.6863,-11.6385,-1.0559
114,4.56,1521.877,353.524,0.9207,11.7132,-11.6665,-1.0449
115,4.6,1521.685,353.537,0.9204,11.7251,-11.6785,-1.0442
116,4.64,1521.725,353.706,0.9223,11.7216,-11.6760,-1.0336
117,4.68,1521.650,353.949,0.9245,11.7250,-11.6806,-1.0184
118,4.72,1521.502,353.942,0.9240,11.7342,-11.6899,-1.0188
119,4.76,1521.358,354.053,0.9238,11.7426,-11.6989,-1.0119
120,4.8,1521.308,354.249,0.9234,11.7446,-11.7020,-0.9997
121,4.84,1521.179,354.327,0.9222,11.7523,-11.7101,-0.9948
122,4.88,1521.260,354.540,0.9206,11.7461,-11.7050,-0.9815
123,4.92,1521.644,354.911,0.9239,11.7203,-11.6810,-0.9583
124,4.96,1521.729,356.212,0.9230,11.7086,-11.6757,-0.8770
125,5.0,1522.093,356.645,0.9215,11.6839,-11.6530,-0.8499
126,5.04,1522.754,357.961,0.9235,11.6370,-11.6116,-0.7676
127,5.08,1523.748,359.954,0.9234,11.5674,-11.5495,-0.6431
128,5.12,1524.831,361.917,0.9236,11.4936,-11.4819,-0.5204
129,5.16,1525.872,364.765,0.9236,11.4219,-11.4168,-0.3424
130,5.2,1527.631,368.096,0.9292,11.3076,-11.3068,-0.1342
131,5.24,1529.616,372.280,0.9274,11.1835,-11.1828,0.1273
132,5.28,1531.634,376.549,0.9260,11.0636,-11.0566,0.3941
133,5.32,1534.389,381.178,0.9289,10.9059,-10.8844,0.6834
134,5.36,1537.638,386.546,0.9232,10.7299,-10.6814,1.0189
135,5.4,1541.341,388.771,0.9232,10.5139,-10.4500,1.1580
136,5.44,1544.507,387.691,0.9245,10.3099,-10.2521,1.0905
137,5.48,1547.907,386.631,0.9239,10.0917,-10.0396,1.0243
138,5.52,1552.263,385.754,0.9291,9.8153,-9.7673,0.9694
139,5.56,1556.372,383.451,0.9313,9.5463,-9.5105,0.8255
140,5.6,1559.870,381.182,0.9308,9.3170,-9.2919,0.6837
141,5.64,1563.779,379.235,0.9318,9.0650,-9.0476,0.5620
142,5.68,1567.584,378.075,0.9323,8.8234,-8.8098,0.4895
143,5.72,1570.816,376.443,0.9320,8.6165,-8.6078,0.3875
144,5.76,1573.188,374.701,0.9350,8.4641,-8.4595,0.2786
145,5.8,1574.738,373.585,0.9346,8.3653,-8.3627,0.2088
146,5.84,1575.705,372.975,0.9367,8.3040,-8.3022,0.1707
147,5.88,1576.916,372.335,0.9361,8.2275,-8.2265,0.1307
148,5.92,1578.175,372.180,0.9375,8.1488,-8.1479,0.1211
149,5.96,1578.894,371.848,0.9384,8.1035,-8.1029,0.1003
150,6.0,1578.830,371.503,0.9366,8.1073,-8.1069,0.0787
151,6.04,1578.487,371.454,0.9385,8.1287,-8.1284,0.0757
152,6.08,1577.845,371.320,0.9387,8.1687,-8.1684,0.0673
153,6.12,1577.224,371.005,0.9398,8.2074,-8.2072,0.0476
154,6.16,1577.117,370.910,0.9395,8.2140,-8.2139,0.0416
155,6.2,1577.209,370.971,0.9400,8.2083,-8.2082,0.0455
156,6.24,1576.986,370.954,0.9379,8.2223,-8.2222,0.0444
157,6.28,1576.721,370.748,0.9389,8.2388,-8.2387,0.0316
158,6.32,1576.664,370.830,0.9397,8.2424,-8.2423,0.0366
159,6.36,1576.779,370.799,0.9396,8.2351,-8.2351,0.0347
160,6.4,1576.778,370.763,0.9390,8.2352,-8.2351,0.0325
161,6.44,1576.756,370.738,0.9389,8.2366,-8.2365,0.0309
162,6.48,1576.742,370.757,0.9395,8.2375,-8.2374,0.0321
163,6.52,1576.774,370.659,0.9380,8.2355,-8.2354,0.0260
164,6.56,1576.794,370.581,0.9372,8.2342,-8.2342,0.0211
165,6.6,1576.782,370.592,0.9377,8.2349,-8.2349,0.0218
166,6.64,1576.775,370.571,0.9374,8.2354,-8.2354,0.0205
167,6.68,1576.806,370.573,0.9370,8.2334,-8.2334,0.0206
168,6.72,1576.843,370.619,0.9375,8.2311,-8.2311,0.0235
169,6.76,1576.858,370.646,0.9369,8.2302,-8.2302,0.0251
170,6.8,1576.915,370.619,0.9368,8.2266,-8.2266,0.0235
171,6.84,1576.856,370.587,0.9367,8.2303,-8.2303,0.0215
172,6.88,1576.919,370.575,0.9362,8.2263,-8.2263,0.0207
173,6.92,1576.900,370.547,0.9367,8.2275,-8.2275,0.0190
174,6.96,1577.063,370.370,0.9366,8.2173,-8.2173,0.0079
175,7.0,1577.031,370.387,0.9359,8.2193,-8.2193,0.0090
176,7.04,1577.023,370.369,0.9363,8.2198,-8.2198,0.0079
177,7.08,1576.973,370.401,0.9368,8.2230,-8.2230,0.0098
178,7.12,1576.909,370.454,0.9366,8.2269,-8.2269,0.0132
