frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1846.000,605.500,1.0000,0.0328,0.0084,-0.0317
1,0.04,1845.917,605.362,0.9998,0.0352,0.0067,-0.0346
2,0.08,1845.923,606.366,0.9998,0.0157,0.0069,-0.0141
3,0.12,1845.886,606.531,0.9998,0.0123,0.0061,-0.0107
4,0.16,1845.838,606.730,0.9994,0.0084,0.0051,-0.0066
5,0.2,1845.893,606.860,0.9991,0.0074,0.0063,-0.0040
6,0.24,1845.336,607.250,0.9988,0.0065,-0.0051,0.0040
7,0.28,1844.982,607.300,0.9998,0.0133,-0.0123,0.0050
8,0.32,1844.949,607.369,0.9998,0.0145,-0.0130,0.0064
9,0.36,1844.959,607.385,0.9999,0.0145,-0.0128,0.0067
10,0.4,1844.948,607.414,0.9999,0.0149,-0.0130,0.0073
11,0.44,1844.966,607.410,0.9999,0.0146,-0.0127,0.0072
12,0.48,1845.087,607.730,0.9994,0.0171,-0.0102,0.0138
13,0.52,1845.588,607.426,0.9986,0.0076,0.0000,0.0076
14,0.56,1846.107,607.724,0.9995,0.0173,0.0106,0.0137
15,0.6,1846.805,607.568,0.9993,0.0270,0.0249,0.0105
16,0.64,1847.534,607.495,0.9985,0.0407,0.0397,0.0090
17,0.68,1848.078,607.677,0.9994,0.0524,0.0508,0.0127
18,0.72,1848.327,607.870,0.9989,0.0583,0.0559,0.0166
19,0.76,1848.336,607.815,0.9990,0.0582,0.0561,0.0155
20,0.8,1847.859,607.623,0.9996,0.0478,0.0464,0.0116
21,0.84,1846.874,607.683,0.9996,0.0292,0.0263,0.0128
22,0.88,1845.622,607.487,0.9987,0.0088,0.0007,0.0088
23,0.92,1844.033,607.677,0.9991,0.0342,-0.0317,0.0127
24,0.96,1842.330,607.760,0.9978,0.0680,-0.0665,0.0144
25,1.0,1840.595,607.401,0.9971,0.1021,-0.1019,0.0071
26,1.04,1839.035,607.528,0.9976,0.1341,-0.1337,0.0096
27,1.08,1837.752,607.375,0.9975,0.1600,-0.1599,0.0065
28,1.12,1836.951,607.431,0.9985,0.1764,-0.1762,0.0077
29,1.16,1836.904,607.448,0.9991,0.1774,-0.1772,0.0080
30,1.2,1837.726,607.486,0.9992,0.1607,-0.1604,0.0088
31,1.24,1839.193,607.726,0.9995,0.1312,-0.1305,0.0137
32,1.28,1841.159,607.704,0.9991,0.0913,-0.0904,0.0132
33,1.32,1843.380,607.829,0.9978,0.0477,-0.0450,0.0158
34,1.36,1845.551,607.643,0.9968,0.0120,-0.0007,0.0120
35,1.4,1847.747,607.713,0.9972,0.0461,0.0441,0.0134
36,1.44,1849.533,607.642,0.9966,0.0814,0.0805,0.0120
37,1.48,1850.826,607.600,0.9983,0.1075,0.1069,0.0111
38,1.52,1851.345,607.935,0.9983,0.1189,0.1175,0.0180
39,1.56,1850.736,607.672,0.9990,0.1058,0.1051,0.0126
40,1.6,1849.928,607.631,0.9997,0.0894,0.0886,0.0118
41,1.64,1848.866,607.452,0.9996,0.0674,0.0669,0.0081
42,1.68,1847.609,607.399,0.9986,0.0419,0.0413,0.0070
43,1.72,1846.017,607.664,0.9991,0.0152,0.0088,0.0124
44,1.76,1844.559,607.219,0.9981,0.0212,-0.0210,0.0034
45,1.8,1843.853,607.298,0.9990,0.0357,-0.0354,0.0050
46,1.84,1843.353,607.894,0.9985,0.0487,-0.0456,0.0171
