frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1517.000,648.000,1.0000,0.0326,0.0031,-0.0325
1,0.04,1516.677,648.467,0.9914,0.0234,-0.0034,-0.0232
2,0.08,1516.960,648.595,0.9937,0.0207,0.0023,-0.0206
3,0.12,1516.932,648.682,0.9954,0.0189,0.0017,-0.0189
4,0.16,1516.727,649.119,0.9968,0.0104,-0.0024,-0.0101
5,0.2,1516.865,649.714,0.9950,0.0018,0.0004,0.0018
6,0.24,1516.962,649.592,0.9936,0.0024,0.0023,-0.0007
7,0.28,1516.792,649.725,0.9943,0.0023,-0.0011,0.0020
8,0.32,1516.903,649.658,0.9944,0.0013,0.0011,0.0007
9,0.36,1516.827,649.754,0.9958,0.0026,-0.0004,0.0026
10,0.4,1516.765,649.879,0.9966,0.0053,-0.0016,0.0051
11,0.44,1516.705,649.902,0.9953,0.0062,-0.0028,0.0055
12,0.48,1516.863,649.937,0.9977,0.0062,0.0003,0.0062
13,0.52,1516.717,650.164,0.9960,0.0111,-0.0026,0.0108
14,0.56,1516.620,650.178,0.9946,0.0119,-0.0045,0.0111
15,0.6,1516.559,650.196,0.9934,0.0128,-0.0057,0.0114
16,0.64,1516.215,650.072,0.9965,0.0155,-0.0126,0.0089
17,0.68,1515.912,650.191,0.9969,0.0218,-0.0187,0.0113
18,0.72,1515.667,650.255,0.9947,0.0267,-0.0236,0.0126
19,0.76,1515.431,650.072,0.9917,0.0297,-0.0283,0.0089
20,0.8,1515.251,650.055,0.9956,0.0330,-0.0319,0.0086
21,0.84,1515.212,650.202,0.9944,0.0347,-0.0327,0.0115
22,0.88,1515.585,650.856,0.9924,0.0352,-0.0252,0.0246
23,0.92,1515.811,650.728,0.9945,0.0302,-0.0207,0.0221
24,0.96,1515.920,650.708,0.9958,0.0285,-0.0185,0.0217
25,1.0,1516.138,650.790,0.9977,0.0273,-0.0142,0.0233
26,1.04,1516.154,650.985,0.9978,0.0305,-0.0138,0.0272
27,1.08,1515.977,651.257,0.9960,0.0370,-0.0174,0.0326
28,1.12,1515.586,651.367,0.9920,0.0430,-0.0252,0.0348
29,1.16,1514.841,651.469,0.9918,0.0545,-0.0401,0.0369
30,1.2,1513.983,651.777,0.9970,0.0716,-0.0573,0.0430
31,1.24,1512.212,651.186,0.9940,0.0978,-0.0927,0.0312
32,1.28,1510.805,651.025,0.9967,0.1240,-0.1208,0.0280
33,1.32,1509.013,650.974,0.9974,0.1590,-0.1567,0.0270
34,1.36,1507.692,650.839,0.9934,0.1847,-0.1831,0.0243
35,1.4,1506.101,650.674,0.9938,0.2159,-0.2149,0.0210
