frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1697.500,655.000,1.0000,0.0095,0.0082,-0.0048
1,0.04,1697.226,655.621,0.9966,0.0084,0.0026,0.0080
2,0.08,1697.103,655.158,0.9966,0.0015,-0.0000,-0.0015
3,0.12,1697.103,655.158,0.9966,0.0016,0.0000,-0.0016
4,0.16,1696.687,655.518,0.9960,0.0104,-0.0086,0.0059
5,0.2,1697.101,655.159,0.9966,0.0015,-0.0000,-0.0015
6,0.24,1697.103,655.168,0.9965,0.0013,0.0000,-0.0013
7,0.28,1697.151,655.298,0.9962,0.0017,0.0010,0.0013
8,0.32,1697.100,655.162,0.9965,0.0015,-0.0001,-0.0015
9,0.36,1697.206,655.346,0.9964,0.0032,0.0021,0.0024
10,0.4,1696.911,655.768,0.9963,0.0118,-0.0040,0.0111
11,0.44,1697.064,655.574,0.9964,0.0071,-0.0008,0.0071
12,0.48,1696.652,655.998,0.9972,0.0184,-0.0093,0.0158
13,0.52,1696.648,656.003,0.9973,0.0185,-0.0094,0.0160
14,0.56,1696.630,656.017,0.9973,0.0190,-0.0098,0.0162
15,0.6,1696.700,656.022,0.9972,0.0183,-0.0083,0.0163
16,0.64,1696.766,656.042,0.9972,0.0182,-0.0070,0.0168
17,0.68,1696.776,656.091,0.9969,0.0190,-0.0068,0.0178
18,0.72,1696.828,656.135,0.9968,0.0195,-0.0057,0.0187
19,0.76,1696.729,656.110,0.9971,0.0197,-0.0077,0.0182
20,0.8,1696.713,656.122,0.9971,0.0201,-0.0081,0.0184
21,0.84,1696.637,656.218,0.9973,0.0226,-0.0097,0.0204
22,0.88,1696.603,656.250,0.9971,0.0235,-0.0103,0.0211
23,0.92,1696.588,656.288,0.9969,0.0243,-0.0107,0.0219
24,0.96,1696.169,656.133,0.9965,0.0269,-0.0193,0.0187
25,1.0,1696.044,656.113,0.9957,0.0285,-0.0219,0.0182
26,1.04,1696.013,656.102,0.9955,0.0289,-0.0226,0.0180
27,1.08,1695.671,656.629,0.9965,0.0414,-0.0297,0.0289
28,1.12,1695.698,656.645,0.9964,0.0413,-0.0291,0.0293
29,1.16,1695.746,656.736,0.9967,0.0420,-0.0281,0.0311
30,1.2,1695.748,656.765,0.9968,0.0424,-0.0281,0.0317
31,1.24,1695.729,656.760,0.9969,0.0426,-0.0285,0.0316
32,1.28,1695.765,656.803,0.9967,0.0427,-0.0277,0.0325
33,1.32,1695.802,656.831,0.9965,0.0427,-0.0270,0.0331
34,1.36,1695.819,656.850,0.9965,0.0428,-0.0266,0.0335
35,1.4,1695.804,656.871,0.9965,0.0433,-0.0269,0.0339
36,1.44,1695.781,656.887,0.9966,0.0439,-0.0274,0.0343
37,1.48,1695.745,656.922,0.9970,0.0449,-0.0281,0.0350
38,1.52,1695.664,656.884,0.9972,0.0454,-0.0298,0.0342
39,1.56,1695.681,656.843,0.9969,0.0445,-0.0295,0.0333
40,1.6,1695.700,656.878,0.9971,0.0448,-0.0291,0.0341
41,1.64,1695.676,656.860,0.9969,0.0448,-0.0295,0.0337
42,1.68,1695.686,656.868,0.9968,0.0448,-0.0294,0.0339
43,1.72,1695.693,656.889,0.9970,0.0451,-0.0292,0.0343
44,1.76,1695.709,656.880,0.9968,0.0447,-0.0289,0.0341
45,1.8,1695.748,656.954,0.9968,0.0454,-0.0281,0.0356
46,1.84,1695.745,656.942,0.9969,0.0452,-0.0281,0.0354
47,1.88,1695.719,656.934,0.9966,0.0454,-0.0287,0.0352
48,1.92,1695.712,656.987,0.9967,0.0464,-0.0288,0.0363
49,1.96,1695.755,657.022,0.9967,0.0464,-0.0279,0.0371
50,2.0,1695.724,657.008,0.9964,0.0466,-0.0286,0.0368
51,2.04,1695.692,656.987,0.9967,0.0466,-0.0292,0.0363
52,2.08,1695.667,657.021,0.9967,0.0475,-0.0298,0.0370
53,2.12,1695.638,656.992,0.9968,0.0474,-0.0303,0.0364
54,2.16,1695.597,656.981,0.9968,0.0478,-0.0312,0.0362
55,2.2,1695.605,657.007,0.9969,0.0481,-0.0310,0.0368
56,2.24,1695.594,657.013,0.9966,0.0483,-0.0312,0.0369
57,2.28,1695.565,656.993,0.9968,0.0484,-0.0319,0.0365
58,2.32,1695.554,656.982,0.9965,0.0484,-0.0321,0.0362
59,2.36,1695.503,656.923,0.9959,0.0482,-0.0331,0.0350
60,2.4,1695.615,657.026,0.9958,0.0483,-0.0308,0.0371
61,2.44,1695.560,656.972,0.9953,0.0482,-0.0320,0.0360
62,2.48,1695.552,656.993,0.9948,0.0486,-0.0321,0.0365
63,2.52,1695.542,656.973,0.9945,0.0484,-0.0323,0.0360
64,2.56,1695.517,656.944,0.9939,0.0483,-0.0328,0.0354
65,2.6,1695.492,656.910,0.9925,0.0482,-0.0334,0.0347
66,2.64,1695.540,656.918,0.9919,0.0476,-0.0324,0.0349
67,2.68,1695.377,656.623,0.9901,0.0459,-0.0358,0.0288
68,2.72,1695.430,656.644,0.9897,0.0453,-0.0347,0.0292
69,2.76,1695.436,656.815,0.9895,0.0476,-0.0345,0.0328
70,2.8,1695.373,656.649,0.9894,0.0463,-0.0358,0.0293
71,2.84,1695.414,656.599,0.9890,0.0450,-0.0350,0.0283
72,2.88,1695.473,656.746,0.9896,0.0461,-0.0338,0.0313
73,2.92,1695.471,656.755,0.9901,0.0462,-0.0338,0.0315
74,2.96,1695.511,656.754,0.9901,0.0456,-0.0330,0.0315
75,3.0,1695.494,656.777,0.9906,0.0462,-0.0333,0.0320
76,3.04,1695.537,656.827,0.9902,0.0463,-0.0324,0.0330
77,3.08,1695.503,656.839,0.9903,0.0470,-0.0332,0.0333
78,3.12,1695.492,656.852,0.9896,0.0473,-0.0334,0.0335
79,3.16,1695.472,656.851,0.9895,0.0476,-0.0338,0.0335
80,3.2,1695.488,656.860,0.9890,0.0475,-0.0334,0.0337
81,3.24,1695.412,656.832,0.9888,0.0482,-0.0350,0.0331
82,3.28,1695.504,657.003,0.9888,0.0494,-0.0331,0.0367
83,3.32,1695.484,657.088,0.9889,0.0510,-0.0335,0.0384
84,3.36,1695.417,656.977,0.9879,0.0503,-0.0349,0.0361
85,3.4,1695.454,657.091,0.9880,0.0515,-0.0342,0.0385
86,3.44,1695.606,657.274,0.9883,0.0524,-0.0310,0.0423
87,3.48,1695.276,656.705,0.9873,0.0486,-0.0378,0.0305
88,3.52,1695.323,656.891,0.9880,0.0504,-0.0369,0.0344
89,3.56,1695.476,657.160,0.9878,0.0522,-0.0337,0.0399
90,3.6,1695.423,657.029,0.9879,0.0510,-0.0348,0.0372
91,3.64,1695.379,657.019,0.9882,0.0514,-0.0357,0.0370
92,3.68,1695.428,657.134,0.9877,0.0525,-0.0347,0.0394
93,3.72,1695.439,657.145,0.9885,0.0525,-0.0345,0.0396
94,3.76,1695.390,657.076,0.9881,0.0521,-0.0355,0.0382
95,3.8,1695.387,657.038,0.9888,0.0516,-0.0355,0.0374
96,3.84,1695.365,657.069,0.9882,0.0524,-0.0360,0.0380
97,3.88,1695.336,657.102,0.9880,0.0533,-0.0366,0.0387
98,3.92,1695.360,656.988,0.9881,0.0512,-0.0361,0.0364
99,3.96,1695.234,656.990,0.9881,0.0531,-0.0387,0.0364
100,4.0,1695.269,656.995,0.9882,0.0527,-0.0380,0.0365
101,4.04,1695.302,656.996,0.9881,0.0522,-0.0373,0.0365
102,4.08,1695.265,656.995,0.9884,0.0528,-0.0381,0.0365
103,4.12,1695.308,657.066,0.9882,0.0531,-0.0372,0.0380
104,4.16,1695.356,657.121,0.9876,0.0533,-0.0362,0.0391
105,4.2,1695.378,657.120,0.9875,0.0530,-0.0357,0.0391
106,4.24,1695.409,657.048,0.9884,0.0514,-0.0351,0.0376
107,4.28,1695.429,657.060,0.9882,0.0513,-0.0347,0.0378
108,4.32,1695.505,657.095,0.9886,0.0508,-0.0331,0.0386
109,4.36,1695.431,656.929,0.9886,0.0493,-0.0346,0.0351
110,4.4,1695.407,656.890,0.9881,0.0491,-0.0351,0.0343
111,4.44,1695.268,656.838,0.9879,0.0505,-0.0380,0.0333
112,4.48,1695.386,656.490,0.9867,0.0441,-0.0356,0.0260
113,4.52,1694.971,656.310,0.9871,0.0495,-0.0442,0.0223
114,4.56,1694.598,656.016,0.9887,0.0544,-0.0519,0.0162
