frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
87,3.48,1685.290,615.065,0.9891,0.7070,0.2264,-0.6697
88,3.52,1685.019,615.737,0.9889,0.6921,0.2208,-0.6559
89,3.56,1684.896,614.433,0.9891,0.7168,0.2182,-0.6828
90,3.6,1685.019,614.555,0.9890,0.7152,0.2208,-0.6803
91,3.64,1685.060,615.921,0.9887,0.6888,0.2216,-0.6521
92,3.68,1684.963,615.440,0.9889,0.6975,0.2196,-0.6620
93,3.72,1685.044,614.580,0.9893,0.7149,0.2213,-0.6797
94,3.76,1685.070,615.634,0.9895,0.6944,0.2218,-0.6580
95,3.8,1685.127,615.927,0.9891,0.6891,0.2230,-0.6520
96,3.84,1685.031,614.921,0.9899,0.7081,0.2210,-0.6727
97,3.88,1685.112,615.036,0.9894,0.7064,0.2227,-0.6704
98,3.92,1685.170,615.766,0.9908,0.6925,0.2239,-0.6553
99,3.96,1685.138,615.547,0.9907,0.6966,0.2232,-0.6598
100,4.0,1685.092,615.244,0.9904,0.7022,0.2223,-0.6661
101,4.04,1685.147,615.501,0.9916,0.6975,0.2234,-0.6608
102,4.08,1685.224,615.561,0.9922,0.6969,0.2250,-0.6595
103,4.12,1685.248,615.430,0.9922,0.6996,0.2255,-0.6622
104,4.16,1685.315,615.412,0.9924,0.7004,0.2269,-0.6626
105,4.2,1685.402,615.467,0.9929,0.6999,0.2287,-0.6615
106,4.24,1685.450,615.477,0.9931,0.7000,0.2296,-0.6613
107,4.28,1685.492,615.391,0.9927,0.7020,0.2305,-0.6630
108,4.32,1685.528,615.434,0.9929,0.7014,0.2313,-0.6622
109,4.36,1685.531,615.468,0.9928,0.7007,0.2313,-0.6615
110,4.4,1685.535,615.395,0.9928,0.7022,0.2314,-0.6630
111,4.44,1685.526,615.433,0.9931,0.7014,0.2312,-0.6622
112,4.48,1685.506,615.498,0.9930,0.7000,0.2308,-0.6608
113,4.52,1685.524,615.477,0.9926,0.7005,0.2312,-0.6613
114,4.56,1685.543,615.453,0.9927,0.7011,0.2316,-0.6618
115,4.6,1685.550,615.471,0.9925,0.7008,0.2317,-0.6614
116,4.64,1685.558,615.519,0.9926,0.6999,0.2319,-0.6604
117,4.68,1685.588,615.590,0.9922,0.6988,0.2325,-0.6589
118,4.72,1685.602,615.436,0.9921,0.7018,0.2328,-0.6621
119,4.76,1685.574,615.484,0.9920,0.7007,0.2322,-0.6611
120,4.8,1685.625,616.038,0.9912,0.6903,0.2333,-0.6497
121,4.84,1685.587,615.629,0.9919,0.6980,0.2325,-0.6581
122,4.88,1685.691,615.202,0.9918,0.7070,0.2346,-0.6669
123,4.92,1685.602,615.316,0.9920,0.7042,0.2328,-0.6646
124,4.96,1685.607,615.378,0.9922,0.7030,0.2329,-0.6633
125,5.0,1685.592,615.378,0.9922,0.7029,0.2326,-0.6633
