frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1739.500,427.000,1.0000,0.0412,0.0077,-0.0404
1,0.04,1739.343,427.848,0.9968,0.0221,0.0043,-0.0217
2,0.08,1739.233,427.979,0.9978,0.0189,0.0018,-0.0188
3,0.12,1739.046,428.404,0.9951,0.0097,-0.0023,-0.0095
4,0.16,1739.035,428.476,0.9949,0.0083,-0.0025,-0.0079
5,0.2,1739.262,428.953,0.9977,0.0036,0.0025,0.0027
6,0.24,1739.185,428.978,0.9973,0.0033,0.0008,0.0032
7,0.28,1739.136,429.004,0.9967,0.0038,-0.0003,0.0038
8,0.32,1739.165,429.012,0.9971,0.0040,0.0003,0.0040
9,0.36,1739.007,429.107,0.9954,0.0068,-0.0032,0.0061
10,0.4,1738.927,428.797,0.9959,0.0050,-0.0049,-0.0008
11,0.44,1738.925,428.868,0.9956,0.0050,-0.0050,0.0008
12,0.48,1738.785,429.019,0.9955,0.0091,-0.0081,0.0041
13,0.52,1738.794,429.020,0.9954,0.0089,-0.0079,0.0041
14,0.56,1738.790,429.022,0.9954,0.0090,-0.0079,0.0042
15,0.6,1738.797,429.019,0.9954,0.0088,-0.0078,0.0041
16,0.64,1738.777,429.026,0.9956,0.0093,-0.0082,0.0043
17,0.68,1738.781,429.032,0.9955,0.0093,-0.0081,0.0044
18,0.72,1738.737,429.060,0.9958,0.0104,-0.0091,0.0050
19,0.76,1738.731,429.088,0.9956,0.0108,-0.0093,0.0056
20,0.8,1738.693,429.080,0.9957,0.0115,-0.0101,0.0055
21,0.84,1738.623,429.184,0.9960,0.0140,-0.0116,0.0078
22,0.88,1738.571,429.242,0.9959,0.0156,-0.0128,0.0090
23,0.92,1738.626,429.176,0.9958,0.0138,-0.0116,0.0076
24,0.96,1738.492,429.332,0.9953,0.0182,-0.0145,0.0110
25,1.0,1738.484,429.312,0.9955,0.0181,-0.0147,0.0106
26,1.04,1738.468,429.336,0.9951,0.0187,-0.0151,0.0111
27,1.08,1738.533,429.300,0.9952,0.0171,-0.0136,0.0103
28,1.12,1738.524,429.304,0.9952,0.0173,-0.0138,0.0104
29,1.16,1738.509,429.327,0.9952,0.0179,-0.0142,0.0109
30,1.2,1738.533,429.312,0.9953,0.0173,-0.0136,0.0106
31,1.24,1738.544,429.276,0.9954,0.0166,-0.0134,0.0098
32,1.28,1738.572,429.249,0.9955,0.0157,-0.0128,0.0092
33,1.32,1738.565,429.244,0.9955,0.0158,-0.0129,0.0091
