frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1716.000,401.000,1.0000,0.0550,0.0513,-0.0197
1,0.04,1715.700,401.372,0.9928,0.0465,0.0450,-0.0118
2,0.08,1715.168,401.590,0.9948,0.0345,0.0337,-0.0072
3,0.12,1714.526,401.650,0.9933,0.0210,0.0201,-0.0059
4,0.16,1714.166,401.754,0.9972,0.0130,0.0125,-0.0038
5,0.2,1713.808,401.937,0.9977,0.0049,0.0049,0.0001
6,0.24,1713.344,401.991,0.9972,0.0051,-0.0049,0.0013
7,0.28,1713.081,402.055,0.9985,0.0108,-0.0105,0.0026
8,0.32,1712.765,401.959,0.9977,0.0172,-0.0172,0.0006
9,0.36,1712.341,402.008,0.9973,0.0262,-0.0262,0.0016
10,0.4,1712.086,402.005,0.9986,0.0316,-0.0315,0.0016
11,0.44,1711.781,401.925,0.9981,0.0380,-0.0380,-0.0001
12,0.48,1711.386,401.996,0.9963,0.0464,-0.0464,0.0014
13,0.52,1711.096,401.936,0.9984,0.0525,-0.0525,0.0001
14,0.56,1710.928,401.913,0.9985,0.0561,-0.0561,-0.0004
15,0.6,1710.607,401.872,0.9962,0.0629,-0.0629,-0.0013
16,0.64,1710.329,401.889,0.9969,0.0687,-0.0687,-0.0009
17,0.68,1709.968,401.837,0.9979,0.0764,-0.0764,-0.0020
18,0.72,1709.704,401.847,0.9969,0.0820,-0.0820,-0.0018
19,0.76,1709.450,401.871,0.9953,0.0874,-0.0874,-0.0013
20,0.8,1709.075,401.832,0.9978,0.0953,-0.0953,-0.0021
21,0.84,1708.842,401.795,0.9972,0.1003,-0.1002,-0.0029
22,0.88,1708.607,401.725,0.9948,0.1053,-0.1052,-0.0044
23,0.92,1708.254,401.985,0.9975,0.1127,-0.1127,0.0011
24,0.96,1708.278,401.850,0.9969,0.1122,-0.1122,-0.0017
25,1.0,1708.200,401.357,0.9944,0.1145,-0.1138,-0.0122
26,1.04,1707.482,401.550,0.9896,0.1293,-0.1290,-0.0081
27,1.08,1707.294,401.213,0.9959,0.1339,-0.1330,-0.0152
28,1.12,1706.712,401.610,0.9937,0.1455,-0.1453,-0.0068
29,1.16,1706.576,402.584,0.9920,0.1488,-0.1482,0.0138
30,1.2,1706.444,401.101,0.9953,0.1520,-0.1510,-0.0176
31,1.24,1705.088,402.144,0.9975,0.1798,-0.1797,0.0045
32,1.28,1705.651,401.288,0.9937,0.1683,-0.1678,-0.0136
33,1.32,1704.523,401.591,0.9916,0.1918,-0.1917,-0.0072
34,1.36,1704.084,402.067,0.9980,0.2010,-0.2010,0.0029
35,1.4,1704.642,401.379,0.9923,0.1895,-0.1891,-0.0117
36,1.44,1704.038,401.566,0.9935,0.2021,-0.2019,-0.0077
37,1.48,1703.726,401.520,0.9916,0.2087,-0.2085,-0.0087
38,1.52,1703.306,401.805,0.9959,0.2174,-0.2174,-0.0027
39,1.56,1703.467,401.641,0.9916,0.2141,-0.2140,-0.0061
40,1.6,1703.327,401.244,0.9950,0.2175,-0.2170,-0.0146
41,1.64,1702.644,401.825,0.9958,0.2314,-0.2314,-0.0022
42,1.68,1702.921,401.364,0.9942,0.2259,-0.2256,-0.0120
43,1.72,1702.465,401.446,0.9903,0.2355,-0.2352,-0.0103
44,1.76,1702.256,401.497,0.9911,0.2398,-0.2397,-0.0092
