frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
0,0.0,1716.000,601.000,1.0000,0.0217,0.0217,-0.0010
1,0.04,1715.351,601.000,0.9945,0.0080,0.0079,-0.0010
2,0.08,1714.434,601.101,0.9949,0.0117,-0.0116,0.0011
3,0.12,1714.373,601.081,0.9960,0.0129,-0.0129,0.0007
4,0.16,1714.397,601.093,0.9962,0.0124,-0.0124,0.0010
5,0.2,1714.499,601.075,0.9945,0.0102,-0.0102,0.0006
6,0.24,1715.217,601.022,0.9982,0.0051,0.0051,-0.0005
7,0.28,1715.294,601.051,0.9977,0.0067,0.0067,0.0001
8,0.32,1715.241,601.044,0.9983,0.0056,0.0056,-0.0001
9,0.36,1715.295,601.061,0.9976,0.0067,0.0067,0.0003
10,0.4,1714.742,600.836,0.9982,0.0068,-0.0051,-0.0045
11,0.44,1714.294,601.026,0.9979,0.0146,-0.0146,-0.0005
12,0.48,1714.377,601.128,0.9958,0.0129,-0.0128,0.0017
13,0.52,1714.329,601.122,0.9966,0.0139,-0.0138,0.0016
14,0.56,1714.294,601.105,0.9972,0.0146,-0.0146,0.0012
15,0.6,1714.264,601.082,0.9977,0.0152,-0.0152,0.0007
16,0.64,1714.189,601.045,0.9984,0.0168,-0.0168,-0.0001
17,0.68,1714.108,601.014,0.9986,0.0186,-0.0185,-0.0007
18,0.72,1714.092,600.979,0.9987,0.0189,-0.0189,-0.0015
19,0.76,1714.086,600.975,0.9988,0.0191,-0.0190,-0.0015
20,0.8,1714.078,601.000,0.9990,0.0192,-0.0192,-0.0010
21,0.84,1714.034,600.927,0.9988,0.0203,-0.0201,-0.0026
22,0.88,1714.030,600.933,0.9988,0.0203,-0.0202,-0.0024
23,0.92,1714.031,600.922,0.9990,0.0203,-0.0202,-0.0027
24,0.96,1713.975,600.974,0.9978,0.0214,-0.0214,-0.0016
25,1.0,1713.998,600.974,0.9981,0.0209,-0.0209,-0.0016
26,1.04,1713.964,600.960,0.9984,0.0217,-0.0216,-0.0019
27,1.08,1713.932,600.905,0.9985,0.0225,-0.0223,-0.0030
28,1.12,1713.950,600.960,0.9987,0.0220,-0.0219,-0.0019
29,1.16,1713.981,600.972,0.9989,0.0213,-0.0212,-0.0016
30,1.2,1714.040,601.007,0.9989,0.0200,-0.0200,-0.0009
31,1.24,1714.018,601.032,0.9988,0.0205,-0.0205,-0.0003
32,1.28,1714.042,601.054,0.9989,0.0199,-0.0199,0.0001
33,1.32,1714.033,601.033,0.9989,0.0201,-0.0201,-0.0003
34,1.36,1714.016,601.028,0.9989,0.0205,-0.0205,-0.0004
35,1.4,1714.013,601.018,0.9991,0.0206,-0.0206,-0.0006
36,1.44,1713.923,600.980,0.9984,0.0225,-0.0225,-0.0014
37,1.48,1713.893,601.030,0.9984,0.0231,-0.0231,-0.0004
38,1.52,1713.884,601.053,0.9983,0.0233,-0.0233,0.0001
39,1.56,1713.844,601.018,0.9984,0.0242,-0.0242,-0.0006
40,1.6,1713.810,600.979,0.9983,0.0249,-0.0249,-0.0014
41,1.64,1713.848,600.985,0.9986,0.0241,-0.0241,-0.0013
42,1.68,1713.889,600.994,0.9988,0.0232,-0.0232,-0.0011
43,1.72,1713.970,601.039,0.9989,0.0215,-0.0215,-0.0002
44,1.76,1714.083,601.081,0.9989,0.0191,-0.0191,0.0007
45,1.8,1714.181,601.135,0.9986,0.0171,-0.0170,0.0019
46,1.84,1714.181,601.159,0.9985,0.0171,-0.0170,0.0024
47,1.88,1714.190,601.124,0.9986,0.0169,-0.0168,0.0016
48,1.92,1714.223,601.170,0.9979,0.0163,-0.0161,0.0026
