frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
87,3.48,1504.674,617.140,0.8219,0.1021,-0.0107,0.1016
88,3.52,1504.702,616.273,0.8315,0.0839,-0.0101,0.0832
89,3.56,1504.601,616.808,0.9029,0.0953,-0.0123,0.0945
90,3.6,1504.853,616.876,0.8990,0.0962,-0.0070,0.0960
91,3.64,1504.884,616.159,0.8928,0.0811,-0.0063,0.0808
92,3.68,1505.049,616.942,0.7953,0.0974,-0.0028,0.0974
93,3.72,1505.870,616.764,0.7698,0.0947,0.0145,0.0936
94,3.76,1505.832,616.569,0.7641,0.0905,0.0137,0.0895
95,3.8,1505.870,616.802,0.7637,0.0955,0.0145,0.0944
96,3.84,1505.783,617.168,0.8545,0.1029,0.0127,0.1021
97,3.88,1504.850,617.311,0.9603,0.1054,-0.0070,0.1052
98,3.92,1504.934,618.140,0.9425,0.1228,-0.0052,0.1227
99,3.96,1505.251,618.344,0.9121,0.1270,0.0015,0.1270
100,4.0,1505.346,618.376,0.8613,0.1277,0.0035,0.1277
101,4.04,1504.713,618.051,0.7964,0.1212,-0.0099,0.1208
102,4.08,1504.230,617.182,0.9131,0.1044,-0.0201,0.1024
103,4.12,1503.922,617.269,0.9572,0.1076,-0.0266,0.1043
104,4.16,1504.242,617.366,0.9867,0.1082,-0.0199,0.1063
105,4.2,1504.493,617.191,0.9818,0.1037,-0.0146,0.1026
106,4.24,1504.509,617.507,0.9844,0.1102,-0.0142,0.1093
107,4.28,1504.672,617.239,0.9811,0.1042,-0.0108,0.1036
108,4.32,1504.504,617.740,0.9944,0.1151,-0.0143,0.1142
109,4.36,1505.319,618.447,0.9951,0.1292,0.0029,0.1292
110,4.4,1504.172,617.876,0.9918,0.1190,-0.0213,0.1171
111,4.44,1504.182,618.497,0.9939,0.1319,-0.0211,0.1302
112,4.48,1503.168,619.444,0.9930,0.1561,-0.0425,0.1502
113,4.52,1502.595,618.727,0.9931,0.1457,-0.0546,0.1351
114,4.56,1501.258,620.292,0.9915,0.1875,-0.0829,0.1681
115,4.6,1500.539,620.194,0.9924,0.1929,-0.0981,0.1661
116,4.64,1498.855,620.731,0.9879,0.2221,-0.1337,0.1774
117,4.68,1498.080,621.911,0.9873,0.2519,-0.1500,0.2023
118,4.72,1497.300,621.803,0.9902,0.2603,-0.1665,0.2001
119,4.76,1496.441,622.310,0.9915,0.2802,-0.1847,0.2108
120,4.8,1495.232,622.780,0.9884,0.3048,-0.2102,0.2207
121,4.84,1494.258,622.869,0.9867,0.3206,-0.2308,0.2226
122,4.88,1493.088,622.950,0.9832,0.3400,-0.2555,0.2243
123,4.92,1491.782,622.743,0.9832,0.3585,-0.2831,0.2199
124,4.96,1490.963,623.179,0.9810,0.3778,-0.3004,0.2291
125,5.0,1489.673,623.313,0.9845,0.4014,-0.3276,0.2320
126,5.04,1488.647,623.274,0.9842,0.4189,-0.3493,0.2311
127,5.08,1487.533,623.812,0.9824,0.4448,-0.3729,0.2425
