time_s,current_uA,voltage_V,confident,force_mN,stress_MPa,stress_smooth_MPa,force_smooth_mN
0.0,2998.72,10.949,True,62.08083,2.821855909090909,2.821340454545454,62.069489999999995
0.1,2998.72,10.949,True,62.08083,2.821855909090909,2.821855909090909,62.08083
0.2,2998.72,10.947,True,62.069489999999995,2.821340454545454,2.821855909090909,62.08083
0.3,2998.72,10.949,True,62.08083,2.821855909090909,2.821855909090909,62.08083
0.4,2998.72,10.949,True,62.08083,2.821855909090909,2.821855909090909,62.08083
0.5,2998.72,10.949,True,62.08083,2.821855909090909,2.821855909090909,62.08083
0.6,2998.72,10.962,True,62.15454,2.8252063636363633,2.8252063636363633,62.15454
0.7,2998.72,10.962,True,62.15454,2.8252063636363633,2.8252063636363633,62.15454
0.8,2998.72,10.962,True,62.15454,2.8252063636363633,2.8252063636363633,62.15454
0.9,2998.72,10.962,True,62.15454,2.8252063636363633,2.8252063636363633,62.15454
1.0,2998.72,10.964,True,62.16588,2.825721818181818,2.8252063636363633,62.15454
1.1,2998.72,10.964,True,62.16588,2.825721818181818,2.8252063636363633,62.15454
1.2,2998.72,10.964,True,62.16588,2.825721818181818,2.8252063636363633,62.15454
1.3,2998.72,10.964,True,62.16588,2.825721818181818,2.8252063636363633,62.15454
1.4,2998.72,10.964,True,62.16588,2.825721818181818,2.825721818181818,62.16588
1.5,2998.72,10.964,True,62.16588,2.825721818181818,2.825721818181818,62.16588
1.6,2998.72,10.964,True,62.16588,2.825721818181818,2.825721818181818,62.16588
1.7,2998.72,10.968,True,62.18856,2.826752727272727,2.825721818181818,62.16588
1.8,2998.72,10.968,True,62.18856,2.826752727272727,2.825721818181818,62.16588
1.9,2998.72,10.968,True,62.18856,2.826752727272727,2.825721818181818,62.16588
2.0,2998.72,10.968,True,62.18856,2.826752727272727,2.825721818181818,62.16588
2.1,2998.72,10.962,True,62.15454,2.8252063636363633,2.826752727272727,62.18856
2.2,2998.72,10.962,True,62.15454,2.8252063636363633,2.826752727272727,62.18856
2.3,2998.72,10.962,True,62.15454,2.8252063636363633,2.826752727272727,62.18856
2.4,2998.72,10.962,True,62.15454,2.8252063636363633,2.826752727272727,62.18856
2.5,2998.72,10.972,True,62.21124,2.827783636363636,2.827783636363636,62.21124
2.6,2998.72,10.972,True,62.21124,2.827783636363636,2.827783636363636,62.21124
2.7,2998.72,10.972,True,62.21124,2.827783636363636,2.827783636363636,62.21124
2.8,2998.72,10.976,True,62.233920000000005,2.8288145454545455,2.8288145454545455,62.233920000000005
2.9,2998.72,10.976,True,62.233920000000005,2.8288145454545455,2.8288145454545455,62.233920000000005
3.0,2998.72,10.976,True,62.233920000000005,2.8288145454545455,2.8288145454545455,62.233920000000005
3.1,2998.72,10.976,True,62.233920000000005,2.8288145454545455,2.8288145454545455,62.233920000000005
3.2,2998.72,10.982,True,62.267939999999996,2.8303609090909085,2.8303609090909085,62.267939999999996
3.3,2998.72,10.982,True,62.267939999999996,2.8303609090909085,2.8303609090909085,62.267939999999996
3.4,2998.72,10.982,True,62.267939999999996,2.8303609090909085,2.8303609090909085,62.267939999999996
3.5,2998.72,10.982,True,62.267939999999996,2.8303609090909085,2.8303609090909085,62.267939999999996
3.6,2998.72,10.982,True,62.267939999999996,2.8303609090909085,2.8303609090909085,62.267939999999996
3.7,2998.72,10.982,True,62.267939999999996,2.8303609090909085,2.8303609090909085,62.267939999999996
3.8,2998.72,10.982,True,62.267939999999996,2.8303609090909085,2.8303609090909085,62.267939999999996
3.9,2998.72,10.987,True,62.29629,2.8316495454545447,2.8316495454545447,62.29629
4.0,2998.72,10.987,True,62.29629,2.8316495454545447,2.8316495454545447,62.29629
4.1,2998.72,10.987,True,62.29629,2.8316495454545447,2.8316495454545447,62.29629
4.2,2998.72,10.987,True,62.29629,2.8316495454545447,2.8316495454545447,62.29629
4.3,2998.72,10.994,True,62.33598,2.8334536363636365,2.8334536363636365,62.33598
4.4,2998.72,10.994,True,62.33598,2.8334536363636365,2.8334536363636365,62.33598
4.5,2998.72,10.994,True,62.33598,2.8334536363636365,2.8334536363636365,62.33598
4.6,2998.72,10.999,True,62.36433,2.8347422727272726,2.834484545454545,62.35865999999999
4.7,2998.72,10.999,True,62.36433,2.8347422727272726,2.834484545454545,62.35865999999999
4.8,2998.72,10.999,True,62.36433,2.8347422727272726,2.834484545454545,62.35865999999999
4.9,2998.72,10.999,True,62.36433,2.8347422727272726,2.8347422727272726,62.36433
5.0,2998.72,10.998,True,62.35865999999999,2.834484545454545,2.8347422727272726,62.36433
5.1,2998.72,10.998,True,62.35865999999999,2.834484545454545,2.8347422727272726,62.36433
5.2,2998.72,10.998,True,62.35865999999999,2.834484545454545,2.8347422727272726,62.36433
5.3,2998.72,11.086,True,62.857620000000004,2.8571645454545456,2.8370618181818177,62.41535999999999
5.4,2998.72,11.085,True,62.85195,2.856906818181818,2.8375772727272723,62.4267
5.5,2998.72,11.085,True,62.85195,2.856906818181818,2.8375772727272723,62.4267
5.6,2998.72,11.008,True,62.41535999999999,2.8370618181818177,2.8375772727272723,62.4267
5.7,2998.72,11.01,True,62.4267,2.8375772727272723,2.8378349999999997,62.43236999999999
5.8,2998.72,11.01,True,62.4267,2.8375772727272723,2.8378349999999997,62.43236999999999
5.9,2998.72,11.01,True,62.4267,2.8375772727272723,2.8378349999999997,62.43236999999999
6.0,2998.72,11.018,True,62.472060000000006,2.8396390909090914,2.8396390909090914,62.472060000000006
6.1,2998.72,11.018,True,62.472060000000006,2.8396390909090914,2.8396390909090914,62.472060000000006
6.2,2998.72,11.018,True,62.472060000000006,2.8396390909090914,2.8396390909090914,62.472060000000006
6.3,2998.72,11.018,True,62.472060000000006,2.8396390909090914,2.8396390909090914,62.472060000000006
6.4,2998.72,11.029,True,62.53443,2.8424740909090906,2.8396390909090914,62.472060000000006
6.5,2998.72,11.026,True,62.51742,2.841700909090909,2.8396390909090914,62.472060000000006
6.6,2998.72,11.025,True,62.51175,2.841443181818182,2.8396390909090914,62.472060000000006
6.7,2998.72,11.023,True,62.500409999999995,2.8409277272727267,2.8396390909090914,62.472060000000006
6.8,2998.72,11.023,True,62.500409999999995,2.8409277272727267,2.8396390909090914,62.472060000000006
6.9,2998.72,11.023,True,62.500409999999995,2.8409277272727267,2.8396390909090914,62.472060000000006
7.0,2998.72,11.023,True,62.500409999999995,2.8409277272727267,2.8396390909090914,62.472060000000006
7.1,2998.72,11.027,True,62.523089999999996,2.8419586363636364,2.8396390909090914,62.472060000000006
7.2,2998.72,11.027,True,62.523089999999996,2.8419586363636364,2.8409277272727267,62.500409999999995
7.3,2998.72,11.027,True,62.523089999999996,2.8419586363636364,2.8409277272727267,62.500409999999995
7.4,2998.72,11.027,True,62.523089999999996,2.8419586363636364,2.8409277272727267,62.500409999999995
7.5,2998.72,11.033,True,62.557109999999994,2.8435049999999995,2.8409277272727267,62.500409999999995
7.6,2998.72,11.033,True,62.557109999999994,2.8435049999999995,2.841443181818182,62.51175
7.7,2998.72,11.033,True,62.557109999999994,2.8435049999999995,2.841700909090909,62.51742
7.8,2998.72,11.037,True,62.57979,2.8445359090909093,2.8419586363636364,62.523089999999996
7.9,2998.72,11.037,True,62.57979,2.8445359090909093,2.8419586363636364,62.523089999999996
8.0,2998.72,11.037,True,62.57979,2.8445359090909093,2.8419586363636364,62.523089999999996
8.1,2998.72,11.037,True,62.57979,2.8445359090909093,2.8419586363636364,62.523089999999996
8.2,2998.72,11.011,True,62.43236999999999,2.8378349999999997,2.8419586363636364,62.523089999999996
8.3,2998.72,11.011,True,62.43236999999999,2.8378349999999997,2.8419586363636364,62.523089999999996
8.4,2998.72,11.011,True,62.43236999999999,2.8378349999999997,2.8419586363636364,62.523089999999996
8.5,2998.72,11.018,True,62.472060000000006,2.8396390909090914,2.8424740909090906,62.53443
8.6,2998.72,11.018,True,62.472060000000006,2.8396390909090914,2.8435049999999995,62.557109999999994
8.7,2998.72,11.018,True,62.472060000000006,2.8396390909090914,2.8435049999999995,62.557109999999994
8.8,2998.72,11.018,True,62.472060000000006,2.8396390909090914,2.8435049999999995,62.557109999999994
