time_s,current_uA,voltage_V
19.7,2998.72,11.116
19.8,2998.72,11.119
19.9,2998.72,11.119
20.0,2998.72,11.119
20.1,2998.72,11.119
20.2,2998.72,11.119
20.3,2998.72,11.119
20.4,2998.72,11.129
20.5,2998.72,11.126333333333331
20.6,2998.72,11.123666666666669
20.7,2998.72,11.121
20.8,2998.72,11.122
20.9,2998.72,11.122
21.0,2998.72,11.122
21.1,2998.72,11.124
21.2,2998.72,11.126
21.3,2998.72,11.125
21.4,2998.72,11.125
21.5,2998.72,11.124666666666666
21.6,2998.72,11.124333333333334
21.7,2998.72,11.124
21.8,2998.72,11.128
21.9,2998.72,11.126
22.0,2998.72,11.126
22.1,2998.72,11.121
22.2,2998.72,11.125
22.3,2998.72,11.126
22.4,2998.72,11.126
22.5,2998.72,11.128
22.6,2998.72,11.128
22.7,2998.72,11.121
22.8,2998.72,11.121
22.9,2998.72,11.128
23.0,2998.72,11.127
23.1,2998.72,11.128
23.2,2998.72,11.129
23.3,2998.72,11.13
23.4,2998.72,11.131
23.5,2998.72,11.132
23.6,2998.72,11.142
23.7,2998.72,11.137
23.8,2998.72,11.132
23.9,2998.72,11.132
24.0,2998.72,11.138
24.1,2998.72,11.138
24.2,2998.72,11.138
24.3,2998.72,11.1345
24.4,2998.72,11.131
24.5,2998.72,11.131
24.6,2998.72,11.131
24.7,2998.72,11.136
24.8,2998.72,11.141
24.9,2998.72,11.146
25.0,2998.72,11.151
25.1,2998.72,11.156
25.2,2998.72,11.156
25.3,2998.72,11.166
25.4,2998.72,11.166
25.5,2998.72,11.156
25.6,2998.72,11.156
25.7,2998.72,11.156
25.8,2998.72,11.156
25.9,2998.72,11.156
26.0,2998.72,11.156
26.1,2998.72,11.156
26.2,2998.72,11.156
26.3,2998.72,11.156
26.4,2998.72,11.15575
26.5,2998.72,11.1555
26.6,2998.72,11.15525
26.7,2998.72,11.155
26.8,2998.72,11.1515
26.9,2998.72,11.148
27.0,2998.72,11.1445
27.1,2998.72,11.141
27.2,2998.72,11.149
27.3,2998.72,11.145
27.4,2998.72,11.145
27.5,2998.72,11.145
27.6,2998.72,11.149
27.7,2998.72,11.143
27.8,2998.72,11.143
27.9,2998.72,11.143
28.0,2998.72,11.143
28.1,2998.72,11.143
28.2,2998.72,11.143
28.3,2998.72,11.14
28.4,2998.72,11.137
28.5,2998.72,11.134
28.6,2998.72,11.131
28.7,2998.72,11.1424
28.8,2998.72,11.1538
28.9,2998.72,11.1652
29.0,2998.72,11.1766
29.1,2998.72,11.188
29.2,2998.72,11.1885
29.3,2998.72,11.189
29.4,2998.72,11.1895
29.5,2998.72,11.19
29.6,2998.72,11.1905
29.7,2998.72,11.191
29.8,2998.72,11.196375
29.9,2998.72,11.20175
30.0,2998.72,11.1925
30.1,2998.72,11.18325
30.2,2998.72,11.174
30.3,2998.72,11.175
30.4,2998.72,11.176
30.5,2998.72,11.177
30.6,2998.72,11.166666666666666
30.7,2998.72,11.156333333333333
30.8,2998.72,11.135666666666667
30.9,2998.72,11.125333333333334
31.0,2998.72,11.130166666666668
31.1,2998.72,11.135
31.2,2998.72,11.155
31.3,2998.72,11.157625
31.4,2998.72,11.16025
31.5,2998.72,11.1589375
31.6,2998.72,11.157625
31.7,2998.72,11.16975
31.8,2998.72,11.181875000000002
31.9,2998.72,11.1825625
32.0,2998.72,11.18325
32.1,2998.72,11.1725
32.2,2998.72,11.1635
32.3,2998.72,11.1545
32.4,2998.72,11.158
32.5,2998.72,11.158
32.6,2998.72,11.155
32.7,2998.72,11.152
32.8,2998.72,11.152
32.9,2998.72,11.154
33.0,2998.72,11.156
33.1,2998.72,11.15625
33.2,2998.72,11.1565
33.3,2998.72,11.15675
33.4,2998.72,11.157
33.5,2998.72,11.157
33.6,2998.72,11.159
33.7,2998.72,11.159
33.8,2998.72,11.159
33.9,2998.72,11.153
34.0,2998.72,11.158
34.1,2998.72,11.156
34.2,2998.72,11.156
34.3,2998.72,11.158
34.4,2998.72,11.153
34.5,2998.72,11.154
34.6,2998.72,11.155
34.7,2998.72,11.156
34.8,2998.72,11.157
34.9,2998.72,11.157
35.0,2998.72,11.158
35.1,2998.72,11.156
35.2,2998.72,11.156
35.3,2998.72,11.156
35.4,2998.72,11.151
35.5,2998.72,11.151
